id,order,motion:text,motion:name@sk,motion:text@sk
1,1,The UK should leave the EU immediately.,Vystúpenie z EÚ,Veľká Británia by mala okamžite vystúpiť z Európskej Únie 
2,2,No one should be imprisoned for possession of drugs for personal use.,Drženie drog legálne,Drogy pre osobnú spotrebu by mali byť legálne.
3,3,Rules for benefit claimants should be tougher.,Prísnejšie sociálne dávky,Pravidlá pre výplatu sociálnych dávok by sa mala sprísniť.
4,4,The tax rate on personal income above £150k a year should be increased to 50%.,Progresívna daň z príjmov,Sadzba dane z príjmu nad 150 000 libier (200 000 Eur) ročne by sa mala zvýšiť na 50 %.
5,5,"The ""bedroom tax"" should be scrapped.",Zrušenie daně z ložnice,Daň zo spálne by mala byť zrušená.
6,6,Winter fuel payments should only be available to pensioners on low incomes.,Príspevky na kúrenie,Štátne príspevky pre vykurovanie v zime by mali byť vyplácané iba dôchodcom s nízkymi príjmami. 
7,7,The government should cut UK foreign aid.,Zníženie rozvojovej pomoci,Vláda by mala skresať rozvojovú pomoc pre chudobné krajiny.
8,8,People living in social housing should have the right to buy their home at a discount.,Zľava na bývanie,Ľudia žijúci v sociálnom bývaní by mali dostať zľavu pri obstarávaní bývania.
9,9,The UK should renew the Trident nuclear weapon system.,Modernizácia Tridentu,Veľká Británia by mala modernizovať systém jadrových zbraní Trident.
10,10,Sex education should be compulsory in all state schools,Povinná sexuálna výchova,Sexuálna výchova by mala byť povinná vo všetkých štátnych školách.
11,11,There should be a limit on the amount landlords can increase rent each year.,Limit na zvyšovanie nájmov,Maximálna možná miera ročného zvyšovania nájmu by mala mať svoj strop.
12,12,The government's top priority should be cutting the budget deficit.,Znižovania deficitu rozpočtu priorita,Hlavnou prioritou vlády by malo byť znižovanie schodku štátneho rozpočtu.
13,13,Public spending should be increased even if it means the government borrows more.,Zvyšovanie verejných výdavkov,"Verejné výdavky by sa mali zvýšiť aj keby to znamenalo, že si štát bude viac požičiavať."
14,14,University tuition fees should be reduced.,Nižšie školné,Školné na vysokých školách by sa malo znížiť.
15,15,All primary school children should get free school meals regardless of household income.,Obedy zadarmo na ZŠ,Žiaci základných škôl by mali dostávať obedy zadarmo bez ohľadu na príjem ich domácnosti.
16,16,The government should set targets for carbon emission reduction.,Limity pre CO2,Vláda by mala limitovať emisie oxidu uhličitého.
17,17,"The government should allow ""fracking"" to extract gas and oil.",Fracking,Vláda by mala povoliť ťažbu ropy a zemného plynu pomocou hydraulického štepenia (fracking)
18,18,Only skilled immigrants should be allowed to move to the UK.,Obmedzenie imigrácie,Iba imigranti s vysokou pracovnou kvalifikáciou by mali mať umožnené presťahovanie do Veľkej Británie.
19,19,Immigrants should have to wait at least two years before claiming unemployment benefits.,Imigranti 2 roky bez soc. dávok,Imigranti by mali čakať aspoň dva roky na oprávnenie získavať podporu v nezamestnanosti.
20,20,The government should raise new taxes to fund the NHS.,Financovanie štátneho zdravotníctva,"Vláda by mala zvýšiť dane, aby zabezpečila financovanie štátneho zdravotníctva."
21,21,The government should support the oil and gas industry by cutting taxes on its profits.,Daňové úľavy pre ťažbu,Vláda by mala podporovať ťažbu zemného plynu a ropy daňovými úľavami.
22,22,Scotland should be an independent country.,Škótsko samostatné,Škótsko by malo byť nezávislou krajinou.
23,23,The government sould take rail services into public ownership.,Železnice verejné,Vláda by mala prevziať železničnú dopravu do verejného vlastníctva.
24,24,The government should have the power to access records of anyone's digital communications.,Prístup vlády k elektronickej komunikácii,Vláda by mala možnosť čítať digitálne správy hocikoho.
