id,order,motion:text,motion:name
1,1,Prezident by mal mať možnosť vyhlásiť amnestiu.,Možnosť amnestií
2,2,Imunita hlavy štátu by mala byť oproti súčasnému stavu obmedzená.,Obmedzenie imunity prezidenta
3,3,Slovensko by malo vystúpiť z NATO.,Vystúpenie z NATO
6,6,Ako prezident by som pozval dalajlámu na oficiálnu štátnu návštevu Slovenska.,Oficiálna návšteva dalajlámu
7,7,Zmluva ACTA by mala na Slovensku platiť.,Zmluva ACTA
8,8,"Hlava štátu by mala na oficiálnych a súkromných návštevách v zahraničí prezentovať postoj vlády, aj keby sa nezhodoval s jej  osobným postojom.",Zastávanie názoru vlády na zahraničných návštevách.
9,9,Slovenská armáda by sa mala účastniť zahraničných vojenských misií.,Zahraničné vojenské misie
10,10,"Interupcia by mala byť zakázaná až na výnimočné prípady, ako je znásilnenie alebo ohrozenie života matky.",Zákaz interupcií
11,11,Hlava štátu by mala mať oproti súčasnému stavu širšie právomoci.,Širšie právomoci prezidenta
12,12,Homosexuálne páry by mali mať možnosť uzavrieť registrované partnerstvo.,Registrované partnerstvo
13,13,Na Slovensku by mala byť zakázaná stavba mešít.,Zákaz stavby mešít
14,14,"Nové štátne inštitúcie by mali byť rozmiestňované rovnomerne po celom území Slovenska, nielen prevažne v Bratislave.",Inštitúcie po celom Slovensku
15,15,Malo by sa znížiť kvórum nutné k platnosti celoštátneho referenda.,Zníženie kvóra pre referendá
16,16,"Ak to bude možné, odvolal/a by som Štefana Harabina z funkcie predsedu Najvyššieho súdu.",Odvolanie Š. Harabina
17,17,Na prvú oficiálnu zahraničnú návštevu by som išiel do Českej republiky.,Prvá cesta do ČR
19,19,Som za finančnú odluku cirkvi od štátu.,Finančná odluka cirkví
21,21,M. Kotlebu by som pozýval na oficiálne akcie rovnako ako iných županov.,Pozvanie M. Kotlebu
23,23,Na verejných vysokých školách by malo byť zavedené školné.,Zavedenie školného
24,24,Som za vstup Ukrajiny do EÚ.,Ukrajina v EÚ
25,25,Názvy obcí by mali byť uvedené dvojjazyčne (v zmiešaných národnostných oblastiach) aj na železničných staniciach.,Dvojjazyčné nápisy na železnici
27,27,"Hlava štátu by mala po voľbách do Národnej rady vymenovať predsedom vlády alebo poveriť jednaním o zostavení vlády predsedu strany, ktorá získala najviac hlasov.",Zostavenie vlády najsilnejšou stranou
29,29,Mala by sa zaviesť progresívna daň pri dani z príjmu ľudí.,Progresívna daň
30,30,"Slovensko by malo usilovať o udržiavanie obchodných vzťahov i s krajinami, ktoré vážne porušujú ľudské práva.",Obchodné vzťahy s nedemokratickými krajinami
31,31,"Hlava štátu by mala vymenovať a prijímať demisiu vlády, predsedu vlády alebo člena vlády bez ohľadu na svoj osobný postoj a bez zbytočného odkladu.",Vymenovanie a demisia bez odkladu
32,32,Hlava štátu by mala vymenovať sudcov a ďalšie osoby do ich funkcie bez ohľadu na ich vek.,Vymenovanie sudcov bez ohľadu na vek
33,33,"Hlava štátu by mala podpísať medzinárodnú zmluvu bez ohľadu na svoj osobný postoj a bez zbytočného odkladu, ak to odsúhlasí vláda.",Podpis medzinárodných zmlúv bez odkladu
34,34,Mala by sa podporovať možnosť výučby rómčiny ako voliteľného predmetu.,Výučba rómčiny
35,35,Mala by byť zavedená možnosť voliť cez internet.,Voľby cez internet
36,36,Som za vstup Turecka do EÚ.,Turecko v EÚ
37,37,Maďarčina by mala mať v oblastiach s maďarskou majoritou rovnaké postavenie ako slovenčina.,Postavenie maďarčiny
