id,motion:name,motion:text,motion:description,order
4,Celostátní referendum,Měla by se uzákonit možnost celostátního referenda vypisovaného na základě petice.,"V ČR je možné vyhlásit celostátní referendum pouze tehdy, pokud o něm rozhodne Parlament. Např. na Slovensku je to možné po shromáždění 350 000 podpisů, v „referendovém“ Švýcarsku je třeba 50 000 podpisů. Referenda je možné žádat i ve spolkových zemích v Německu, v celém Německu prakticky ne.",1
1,Daňová progrese DPFO,Měla by se zvýšit daňová progrese daně z příjmů u lidí (tj. vyšší sazba daně pro vyšší příjmy).,"V ČR existuje „jednotná daň z příjmu 15 %“. Díky slevě na poplatníka ovšem jde ve skutečnosti o daň mírně progresivní. Podle zastánců je tato ""rovná daň"" spravedlivější, odpůrci naopak považují za spravedlivější progresivnější zdanění. V Německu je zdanění progresivnější než v ČR, na Slovensku je progrese podobná jako v ČR.",2
2,Církevní restituce,Souhlasím se současným zněním zákona o církevních restitucích.,"V legislativním procesu je nyní zákon o církevních restitucích. Podle zastánců zákon napravuje křivdy na církvích a umožní rozvoj obcí obklopených blokovanými pozemky, podle odpůrců je zákon netransparentní a hrozí zneužití vydaného majetku.",3
3,Zákaz kouření v restauracích,Mělo by být zakázáno kouřit v restauracích.,"V mnoha zemích se v poslední době rozšiřují zákony zakazující kouření v restauracích. Např. v mnoha německých spolkových zemích je to zakázáno, na Slovensku je nutno vyhradit stavebně oddělený nekuřácký prostor.",4
5,Euro v ČR,ČR by měla usilovat o zavedení společné evropské měny (euro).,"Česká republika se pomocí referenda v roce 2004 vyjádřila kladně pro vstup do EU. Tímto referendem došlo i ke schválení závazku v podobě přijetí společné evropské měny, eura (datum přijetí nebylo a není stanoveno).",5
6,Školné na VŠ,Mělo by se začít platit školné na veřejných vysokých školách.,"Na veřejných vysokých školách v ČR se neplatí školné. Studenti si ovšem platí ubytování, stravu, pomůcky i některé povinné školní poplatky. Podle zastánců školené umožní rozvoj vysokých škol, podle odpůrců omezí přístup ke vzdělání zejména sociálně slabším studentům.",6
7,Insituce po celé ČR,"Mělo by se zavést pravidlo, že státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.","V ČR je velké množství státních a státem placených institucí v Praze. Naproti tomu v Německu existuje pravidlo, že takové instituce musejí být rozmísťovány rovnoměrně po celé zemi. Podle zastánců to zlepšuje přístup občanů k úřadům a posiluje nezávislost kontrolních institucí, podle odpůrců to snižuje efektivitu státní správy.",7
8,Eutanazie,Měla by být zavedena možnost eutanazie.,"Eutanazie není povolená v ČR ani v žádné z okolních zemí. Podle zastánců je ukončení života základním právem člověka, podle odpůrců je nemorální a hrozí jeho zneužití. Eutanazie je legální např. v Nizozemí nebo v Belgii.",8
9,Lehčí místní referendum,Měla by se snížit hranice pro platnost místního referenda alespoň pro velká města.,"V ČR je pro platnost místního referenda nutná účast alespoň 35 % obyvatel obce a alespoň 25 % obyvatel musí hlasovat pro vítěznou variantu. Ve velkých městech je to dle zkušeností těžko dosažitelné. Např. v Polsku je minimální účast pro platnost referenda 30 %, na Slovensku 50 % a v Bavorsku je to odstupňované dle velikosti města od 20 % (pod 50 000 lidí) po 10 % (nad 100 000 lidí).",9
10,Výstup z NATO,ČR by měla vystoupit z NATO.,"ČR je od roku 1999 součástí NATO. Podle zastánců členství jde o záruku bezpečnosti země, odpůrci naopak poukazují účast ČT v problematických vojenských konfliktech. Členem NATO jsou všechny sousední státy ČR kromě Rakouska.",10
11,Výstup z EU,ČR by měla vystoupit z EU.,"ČR je od roku 2004 členem EU. Zastánci argumentují, že členství dává ČR možnost ovlivňovat budoucnost EU a je ekonomicky výhodné, odpůrci upozorňují na ztrátu suverenity ČR. Členem EU jsou všechny sousední státy ČR, mimo EU naopak stojí např. Švýcarsko či Norsko.",11
12,Snížení DPH,Sazba DPH by se měla snížit.,"Sazba DPH se nedávno zvýšila jako reakce na nižší výběr daní kvůli krizi. Podle zastánců povede zvýšení DPH k vyšším příjmům státního rozpočtu a ke snížení veřejného dluhu, podle odpůrců povede ke zdražení zboží a služeb.",12
13,Prokázání majetku,Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.,"Na Slovensku platí zákon o prokazování nabytí majetku (nad přibližně 10 miliónů Kč). Pokud majitel nebude moci prokázat legální nabytí majetku, může o něj přijít. Podle zastánců je to důležité opatření v boji proti systémové korupci, podle oponentů má zákon zpětnou účinnost a zavádí situaci, kdy obviněný musí dokazovat svoji nevinu.",13
14,Výuka romštiny,Měla by se podporovat možnost výuky romštiny jako volitelného předmětu.,"V ČR platí zákon, že národnostní menšiny mají právo na výuku ve svém jazyce. Zatímco v ČR fungují školy např. v polštině, romština není v ČR ani volitelným předmětem (mj. nejsou vyškolení učitelé). Např. na Slovensku místy je.",14
