id,motion:name,motion:text,motion:description,order
1,Spalovna v Rybitví,Spalovna odpadu v Rybitví by měla být zrekonstruována a znovu spuštěna. ,"Společnost AVE CZ hodlá investovat do opravy a znovuspuštění spalovny odpadu v Rybitví. Projekt je značně kontroverzní, podle části regionálních politiků je ale zprovoznění spalovny nutné.",1
2,Splavnění Labe,"Plavební stupeň Přelouč by měl být vybudován, aby Labe bylo splavné až do Pardubic.",Splavnění Labe v úseku Chvaletice – Pardubice stojí na vybudování plavebního stupně u Přelouče. Jeho výstavba je ale předmětem dlouhodobého sporu. Ke konečnému výsledku může přispět i mínění krajské samosprávy.,2
3,Mýtné pro nákladní dopravu,Na silnicích II. a III. tříd by měl kraj zavést mýtné pro nákladní dopravu.,,3
4,Univerzita Pardubice,Kraj by měl (finančně) podporovat Univerzitu Pardubice.,,4
5,Privatizace nemocnic,Nemocnice Pardubického kraje by měly být zcela zprivatizovány.,"Krajské nemocnice jsou dlouhodobě extrémně ztrátové, přičemž neúspěšné hospodaření vede k celkovému úpadku kvality služeb. Pro řešení situace krajských nemocnic se nabízí několik variant.",5
6,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",6
7,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,7
8,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",8
9,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru. ",,9
10,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",10
11,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",11
12,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Pardubický kraj zřizuje formou akciových společností pět krajských nemocnic. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",12
13,Rodinné pasy (zrušení),Pardubický kraj by měl ukončit financování projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",13
14,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,14
16,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu.,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady.",16
17,Romští asistenti,Kraj by měl zvyšovat počet romských asistentů ve školách na svém území.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",17
18,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny. ,,18
