id,motion:name,motion:text,motion:description,order
1,Prolomení limitů,Limity těžby by měly být prolomeny.,"O limitech těžby hnědého uhlí rozhoduje zákonem stát, nicméně stanovisko krajské samosprávy je klíčovým faktorem ovlivňujícím jeho rozhodnutí.",1
2,Referendum o limitech,Zastupitelstvo Ústeckého kraje by mělo vypsat referendum o budoucnosti limitů těžby.,"Možností rovněž je, že kraj nechá v této otázce rozhodnout občany v krajském referendu a svá stanovisky následně výsledku referenda přizpůsobí.",2
3,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",3
4,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,4
5,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",5
7,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",7
8,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Ústecký kraj je zřizovatelem Krajské zdravotní a.s., která zaštiťuje síť páteřních nemocnic v kraji. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",8
9,Rodinné pasy (zrušení),Ústecký kraj by měl ukončit financování projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",9
10,Stromořadí,Stromořadí podél silnic by měla být zachována. ,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je kácí z důvodu zvyšování bezpečnosti dopravní infrastruktury.,10
11,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu. ,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady. Stále častěji se proto mluví o podpoře hromadné dopravy.",11
12,Romští asistenti,Kraj by měl zvyšovat počet romských asistentů ve školách na svém území.,Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Na druhé straně se ale mnoho mluví o navýšení investic do vzdělávání v sociálně vyloučených lokalitách apod.,12
13,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,,13
14,Spoje do Saska,Ústecký kraj by měl z vlastní iniciativy prohlubovat spolupráci se spolkovou zemí Sasko v oblasti rozvoje přeshraničních dopravních spojů a propojování dopravní infrastruktury.,"Ústecký kraj celou svou severní hranicí sousedí se spolkovou zemí Sasko, zároveň se oba celky podílejí na rozvoji euroregionů Krušnohoří a Labe. Nabízí se zde pochopitelně možnost dalšího prohlubování přeshraniční spolupráce, a to i nad rámec dotačních programů CR a EU.",14
15,Spolupráce se Saskem (školství),"Ústecký kraj by měl z vlastní iniciativy prohlubovat spolupráci se spolkovou zemí Sasko v oblasti školství, a  to například zakládáním bilingvních česko-německých středních škol a podporou výuky němčiny.","Ústecký kraj celou svou severní hranicí sousedí se spolkovou zemí Sasko, zároveň se oba celky podílejí na rozvoji euroregionů Krušnohoří a Labe. Nabízí se zde pochopitelně možnost dalšího prohlubování přeshraniční spolupráce, a to i nad rámec dotačních programů CR a EU.",15
16,CHKO Východní Krušné hory,Ústecký kraj by měl usilovat o vyhlášení chráněné krajinné oblasti Východní Krušné hory.,"Východní Krušné hory jsou z ekologického hlediska jedinečným regionem, jehož část je již dnes chráněna formou přírodního parku. Existuje přitom možnost zesílit ochranu této oblasti, pokud by zde vláda vyhlásila CHKO. Mínění krajské samosprávy je ovšem jedním ze zásadních faktorů při takovém rozhodování.",16
17,Splavnění Labe,Kraj by se měl zasadit o splavnění všech úseků Labe na svém území.,"Úsek Labe v Ústeckém kraji je předmětem dlouhodobého sporu o budování jezů a zlepšování splavnosti. Podle jedné strany jezy ohrožují kvalitu životního prostřední, podle druhé je jejich výstavba nutná pro ekonomický rozvoj kraje.",17
18,Univerzita J. E. Purkyně,Kraj by měl (finančně) podporovat Univerzitu J.E.Purkyně.,,18
19,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"").",,19
20,Nespolupráce s ČSSD,"Vadila by mi spolupráce ""mojí"" strany s ČSSD v Radě kraje (""krajské vládě"").",,20
