id,motion:name,motion:text,motion:description,order
1,Integrovaný dopravní systém,Kraj Vysočina by se měl zabývat plánováním a realizací integrovaného dopravního systému. ,"Kraj Vysočina dlouhodobě zvažoval vytvoření systému integrované dopravy, jak je běžné v ostatních krajích. Plán byl jako nepřiměřeně nákladný opuštěn, přesto by podle některých odborníků integrovaný dopravní systém kraji prospěl.",1
2,Stipendia na učňovských oborech,Kraj by měl po volbách pokračovat v udílení stipendií žákům učňovských oborů a dále tento projekt rozšiřovat.,Kraj Vysočina se rozhodl motivovat žáky vybraných učňovských oborů formou stipendií. Do budoucna zvažuje rozšíření programu na širší škálu oborů.,2
3,Stipendia pro žáky zemědělských oborů,Kraj by měl primárně dotovat studenty zemědělských oborů.,,3
4,Dotace pro zemědělství,Kraj by neměl zasahovat dotačními programy do rozvoje zemědělství na Vysočině.,"Zemědělství má pro Vysočinu velký krajinotvorný, kulturní i ekonomický význam. Kraj vynakládá část prostředků na podporu lokálních zemědělských produktů.",4
5,Odmítnutí úložiště jaderného odpadu,Na Vysočině by úložiště jaderného odpadu nemělo vzniknout za žádnou cenu.,"Na Vysočině jsou vytipovány tři potenciální lokality pro vybudování úložiště jaderného programu. Realizace tohoto projektu sice leží v daleké budoucnosti (téměř za 40 let), nicméně postoj krajské samosprávy je důležitý v diskusích, které se vedou již dnes.",5
6,Vysoká škola Polytechnická Jihlava,Kraj by měl (finančně) podporovat Vysokou školu polytechnickou Jihlava,,6
7,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",7
8,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,8
9,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",9
10,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru. ",,10
11,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",11
12,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",12
13,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Kraj Vysočina zřizuje formou příspěvkových organizací pět krajských nemocnic. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",13
14,Privatizace nemocnic,Privatizace alespoň části krajských nemocnic by zvýšila efektivitu krajského zdravotnictví.,,14
15,Rodinné pasy (zrušení),Kraj Vysočina by měl ukončit financování projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",15
16,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,16
17,Stromořadí,Stromořadí podél silnic by měla být zachována.,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je kácí z důvodu zvyšování bezpečnosti dopravní infrastruktury.,17
18,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu. ,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady.",18
