id,motion:name,motion:text,motion:description,order
1,Spalovna komunálního odpadu,"Bylo by vhodné, aby Olomoucký kraj investoval do vlastní spalovny komunálního odpadu.","Olomoucký kraj v současnosti plánuje výstavbu spalovny komunálního odpadu, ekologické organizace tvrdí, že je tato investice nepotřebná. Realizace projektu je nicméně otázkou příštího volebního období.",1
2,Třídění odpadu,"Má smysl, aby kraj aktivně a s vynaložením vlastních peněz podporoval třídění odpadu.","Kraj zorganizoval informační kampaň, jejímž cílem je podpořit třídění odpadu. Společně se společností EKO-KOM zásobí 4000 vybraných domácností barevnými taškami pro třídění odpadu. V případě úspěchu by se měl projekt rozšířit.",2
3,Dotace využití brownfields,"Kraj by měl dotovat využití opuštěných průmyslových zón investory, tak aby se jim tyto investice spíše vyplatily.","V Olomouckém kraji dlouhodobě ubývá orné půdy. Příčinnou jsou rozrůstající se průmyslová či obchodní centra. Investorům se totiž nevyplatí upravovat opuštěné průmyslové zóny, tzv. brownfields.",3
4,Univerzita Palackého,Kraj by měl (finančně) podporovat Univerzitu Palackého v Olomouci. ,,4
5,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",5
6,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,6
7,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",7
8,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru. ",,8
10,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",10
11,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Olomoucký kraj zřizuje formou akciové společnosti síť páteřních nemocnic Olomouckého kraje. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",11
12,Rodinné pasy (zrušení),Olomoucký kraj by měl ukončit financování projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",12
13,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,13
14,Stromořadí,Stromořadí podél silnic by měla být zachována.,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je kácí z důvodu zvyšování bezpečnosti dopravní infrastruktury.,14
15,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu.,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady.",15
16,Romští asistenti,Kraj by měl zvyšovat počet romských asistentů ve školách na svém území.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",16
17,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny. ,,17
