id,order,motion:text,motion:name,motion:description
101,1.0,Szükség van a Római parton a mobilgát megépítésére.,Mobilgát a Rómain,"Egyesek szerint a dunai áradások hatalmas károkat okoznak a római parton lakóknak, és veszélyeztetik a környező lakótelepeket is, ezért mobilgát építésére van szükség. Mások szerint a mobilgát leginkább az ártérre illegálisan betelepülőket védené, ráadásul közpénzből, és tönkretenné a természetes partszakaszt. Ők a régi gát megerősítését javasolják."
102,2.0,"Jó kezdeményezés, hogy a Városligetben építik fel a múzeumnegyedet.",Városligeti múzeumnegyed,"A projekt támogatói szerint a városligeti múzeumnegyed rendezheti a budapesti múzeumok sorsát, és új attraktív turista látványosságot hozna létre, miközben rendeződne az elhanyagolt park sorsa is. Mások szerint a Városligetben nincs helye nagy épületeknek és megnövekedő forgalomnak, ezért ellenzik ezt a helyszínválasztást."
103,3.0,"A belső kerületekben, mind Pesten és Budán, a Rakpartot át kell adni a gyalogosoknak és megteremteni a város és a folyó közötti közvetlen kapcsolatot.",Rakpartok,"Sokak szerint méltatlan, hogy a belvárosban nem lehet kihasználni a Duna adta lehetőséget a rakparti autóforgalom miatt. Mások szerint a rakpartok nélkülözhetetlen közlekedési útvonalai a fővárosnak."
104,4.0,Szigorítani kell a fővárosi műemlékvédelmet.,Műemlékvédelem,"Egyesek szerint szigorúbban kell védeni Budapest építészeti örökségét, akár befektetői érdekekkel szemben is. Mások szerint a műemlékvédelem nem lehet az ingatlanállomány és a város fejlesztésének akadálya."
105,5.0,Mihamarabb be kell vezetni a dugódíjat.,Dugódíj bevezetése,"Budapest vállalást tett a dugódíj bevezetésére. Egyesek szerint a dugódíj ideális megoldás Budapest útjainak és környezetének tehermentesítésére. Az ellenzők szerint a valóságban ez nem kivitelezhető, és a város közlekedésének felborulásához vezethet."
106,6.0,Legyen a Nagykörúton a gyalogos- és autóforgalomtól független bicikliút.,Bicikliút a Nagykörúton,"Budapesten évről évre növekszik a kerékpározók száma. Biciklis szerveztek szerint elengedhetetlen a körúti biciklisáv megépítése. Mások szerint nem megoldható a jelenlegi forgalmi viszonyok mellett, illetve anélkül, hogy jelentősen megnehezítenék a közlekedést és a parkolást."
107,7.0,"A hármas metró rekonstrukciója során elégséges a járműpark felújítása, nem kell új szerelvényeket vásárolni.",Szerelvénycsere a 3-mas metrón,Egyesek szerint a főváros szűkös anyagi lehetőségei miatt elégséges a régi szovjet metrószerelvények felújítása. Mások szerint mindenáron új járművekre van szükség.
108,8.0,Folytatni kell a BKK buszjáratok vállalkozóknak történő kiszervezését.,Buszjáratok kiszervezése,"A fővárosi buszpark megújításának egyik lehetősége a járatok alvállalkozóknak történő kiszervezése, hiszen ők maguk gondoskodnak új buszok beszerzéséről. Mások szerint ez végső soron többe kerül a városnak, mintha saját maga vásárolna új buszokat, továbbá kiszolgáltatottá teszi a BKV sofőrjeit."
109,9.0,A Lánchídon meg kell szüntetni az autóközlekedést.,Gyalogos Lánchíd,"Rendszeresen felmerül, hogy Budapestnek szüksége van-e gyalogoshídra. Egyesek szerint át kell engedni a Lánchidat a gyalogosoknak, mások szerint azonban nélkülözhetetlen a Lánchíd a gépkocsiforgalom számára."
110,10.0,"A fővárosi kulturális intézmények elegendő autonómiával rendelkeznek, amit a jövőben sem érdemes bővíteni.",Kulturális intézmények autonómiája,"Egyesek szerint a fővárosi kulturális intézmények elegendő szakmai autonómiával rendelkeznek, mások szerint túl erős a politikai befolyása szakmai és személyi kérdésekben."
111,11.0,"A Sziget Fesztivált a fővárosnak anyagilag is támogatnia kell, mert az a főváros kiemelkedő turisztikai eseménye.",Sziget Fesztivál,"A Sziget rengeteg látogatót vonz a fővárosba, ezzel közvetve jelentős bevételt termel mások számára is, ezért vannak, akik úgy gondolják, elvárható, hogy a főváros is támogassa az eseményt. Mások szerint egy piaci alapon működő vállalkozásnak önállóan meg kell állnia a lábán."
112,12.0,Növelni kell az önkormányzati lakásállományt (szociális lakásprogram fejlesztése).,Önkormányzati lakások,"Egyesek szerint a fővárosnak szociális lakásprogrammal, és az önkormányzati lakásállomány növelésével segítenie kell a rászorulók lakáshoz jutását. Mások szerint fővárosnak nem dolga a lakásépítés és ingatlankezelés."
113,13.0,"A hajléktalanok kitiltása bizonyos közterületekről szükséges eleme a főváros hajléktalanpolitikájának, amin a jövőben sem szabad változtatni.",Hajléktalanok kitiltása,"Egyesek szerint a városképet rontja, hogy közterületeken emberek életvitelszerűen tartózkodnak. Mások szerint a hajléktalanság büntetése, kriminalizációja nem megoldása a problémának, csupán annak szőnyeg alá seprése."
114,14.0,Több térfigyelő kamerára van szükség.,Térfigyelő kamerák,"A térfigyelő kamerák növelhetik a közbiztonságot, ezért sokak szerint szükség van továbbiak telepítésére. Jogvédők szerint az emberek magánszféráját sérti, hogy állandóan megfigyelhetik őket, ezért más módon kell javítani a közbiztonságon."
115,15.0,"A Budapest Pride a város sokszínűségének fontos jelképe, a fővárosnak támogatnia kell annak megvalósulását.",Budapest Pride,"A Budapest Pride egyesek szerint a város sokszínűségének egyik fontos jelképe, ezért a fővárosnak is egyértelműen ki kell állnia mellette. Mások szerint a rendezvény önmagában is kellőképpen kifejezi  a sokszínűséget. Olyanok is vannak, akik nem örülnek a felvonulásnak."
116,16.0,A Főpolgármester és hivatala számára a kormánnyal szemben nagyobb autonómiát kell biztosítani.,Főváros vs. kormány,"2010 óta a főváros és az önkormányzatok hatáskörei gyengültek. Vannak, akik úgy gondolják, a kormány jobb gazdája ezen feladatoknak (pl. iskolák, kórházak üzemeltetése). Mások szerint a túlzott centralizáció helyett szélesebb jogköröket kell biztosítani az önkormányzatoknak, különösképp a fővárosnak."
117,17.0,"Szükség van arra, hogy a főváros a városlakók számára közérthetően elérhetővé tegye a város költségvetését.",Átlátható költségvetés,"A városlakóknak joguk van tudni, hogy mire mennyit költ az önkormányzatuk. Egyesek szerint meg kell könnyíteni számukra a város költéseiről való tájékozódást táblázatok, infografikák segítségével. Mások szerint jelenleg is megfelelően biztosított a főváros gazdálkodásának átláthatósága."
118,18.0,Szükség van a jövőben átfogó fővárosi tűcsere programra.,Tűcsere program,"Egyesek szerint tűcsere programmal kell segíteni a súlyosan függő kábítószer-fogyasztókat fertőzések és egyéb veszélyek elkerülése érdekben. Mások szerint ez a kábítószer-fogyasztás támogatása, ezért nincs rá szükség."
119,19.0,"A kerületeknek jelenleg túl nagy az autonómiája, amit a jövőben a főváros javára csökkenteni szükséges.",Főváros vs. kerületek,"Az elmúlt 25 évben rendszeresen téma, hogy a főváros működését veszélyeztetik a túl nagy hatalommal bíró, önérdek-követő kerületek, ezért növeli kell a főváros hatásköreit a kerületekkel szemben. Mások szerint ez szükségtelen központosítás, a kerületek jobban tudják képviselni a helyiek érdekeit."
120,20.0,A budapesti közműszolgáltató cégeknek a legjobb gazdája a főváros.,Közművek,"Egyesek szerint jelentős kárt okozott a fővárosnak és lakóinak a közművek privatizációja, azokat inkább tartósan önkormányzati tulajdonban kell tartani. Mások szerint az állam nem jó gazda, magánbefektetők hatékonyabban működtetnék a közműveket, a fővárosnak elegendő a megfelelő szabályozást megteremtenie."
