id,motion:name,motion:text,motion:description,order
1,Středočeská univerzita,Kraj by měl usilovat o zřízení středočeské univerzity. ,"Vedení středočeského kraje už v minulosti neúspěšně usilovalo o zřízení středočeské univerzity. Středočeský kraj je jediným krajem, který dosud nemá vlastní univerzitu, na druhé straně přirozeným centrem kraje je Praha, která disponuje řadou vysokých škol.",1
2,Školácké jízdné zdarma,Středočeský kraj by měl zajistit dopravu žáků do škol zdarma.,"V roce 2009 zavedlo vedení Středočeského kraje jízdné pro školáky zdarma. Týká se žáků středočeských škol, kteří mají v kraji rovněž trvalý pobyt. Z rozpočtu kraje je na tento program vyhrazeno ke 100 milionům korun.",2
3,Pastelkovné,Středočeští prvňáci by i v příštích letech měli dostávat od kraje školní výbavu. ,Kraj v současnosti kompenzuje úspory na straně státního rozpočtu v oblasti finanční podpory žáků prvních tříd.,3
4,Proplácení regulačních poplatků,Středočeský kraj by měl i nadále proplácet regulační poplatky v krajských zdravotnických zařízeních.,Středočeský kraj jako jediný neustoupil od praxe proplácení regulačních poplatků ve svých zdravotnických zařízeních.,4
5,Letiště Vodochody,Letiště Vodochody by se mělo stát veřejným mezinárodním letištěm.,O transformaci letiště Vodochody ve veřejné mezinárodní letiště konkurující pražské Ruzyni se vede dlouhodobý spor. Proti jsou vesměs samosprávy okolních obcí. Současné vedení kraje rozšíření letiště podpořilo.,5
6,Nová koncepce zdravotnictví,Středočeský kraj by měl zpracovat novou koncepci krajských zdravotnických zařízení a výrazně omezit výdaje v této oblasti.,Současné vedení Středočeského kraje relativně štědře dotuje krajské zdravotnictví. Podle kritiků je ale současná koncepce příliš drahá a neefektivní.,6
7,Odvolání ředitele krajského úřadu Štětiny,Ředitel krajského úřadu p. Štětina by měl být odvolán.,Současný ředitel KÚ Zdeněk Štětina byl jmenován na návrh hejtmana D. Ratha.,7
8,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",8
9,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,9
10,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",10
11,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků. ","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",11
12,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",12
13,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Středočeský kraj zřizuje formou příspěvkových organizací a akciových společností síť krajských nemocnic.. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",13
14,Rodinné pasy,Středočeský kraj by se měl zapojit do projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",14
15,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,15
16,Stromořadí,Stromořadí podél silnic by měla být zachována.,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je kácí z důvodu zvyšování bezpečnosti dopravní infrastruktury.,16
17,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu. ,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady.",17
18,Dotace pro NGO - romská integrace,Kraj by měl zvýšit počet romských asistentů na školách na svém území.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",18
19,Romští asistenti,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,,19
20,Zastavení plánů na elektrárnu Mošnov,Kraj by měl zamezit výstavbě paroplynové elektrárny u obce Mochov.,RWE se v dlouhodobém výhledu chystá vybudovat u obce Mochov paroplynovou elektrárnu. Projekt vzbudil značnou nevoli u obyvatel okolních obcí.,20
