id,motion:name,motion:text,motion:description,order
15,Ještěd,Kraj by měl usilovat o získání hotelu a televizního vysílače na Ještědu do svého majetku.,"Ještěd, dominanta Libereckého kraje, je od devadesátých let v soukromých rukou. Stav budovy vyžaduje významné investice a podle části regionálních politiků by situaci pomohlo, kdyby Ještěd získal do svého vlastnictví kraj.",1
16,Oblastní galerie,Liberecký kraj by měl uhradit celou částku (15 milionů) potřebnou k dofinancování rekonstrukce nových prostor Oblastní galerie.,"Rekonstrukce budovy bývalých městských lázní v Liberci na galerii je částečně financována z Regionálního operačního programu. Zbývá získat 15 milionů, buď z rozpočtu města nebo kraje. Budova je majetkem města, ale po přestěhování Oblastní galerie přejde pod správu kraje.",2
17,Sklářská škola Kamenický Šenov,Sklářská škola v Kamenickém Šenově by měla být zachována jako samostatná instituce.,Sklářská škola v Kamenickém Šenově (nejstarší svého druhu) se potýká s nedostatkem studentů a kraj i zde řeší problém s financováním. Možná řešení jsou různá - od sloučení školy s jinou institucí po další investice.,3
18,Výuka polštiny,Kraj by ve svých školách v pohraničí s Polskem měl zajistit (nepovinnou) výuku polštiny.,Kraj by měl (finančně) podporovat Technickou univerzitu v Liberci.,4
1,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",5
2,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,6
3,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd.,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",7
4,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru.",,8
5,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",9
6,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",10
7,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Liberecký kraj zřizuje formou akciových společností klíčová zdravotnická zařízení. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",11
8,Rodinné pasy,Liberecký kraj by se měl zapojit do projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Cílem je podpora rodin s dětmi formou poskytování slev. Efektivita projektu je ovšem sporná.",12
9,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,13
10,Stromořadí,Stromořadí podél silnic by měla být zachována.,,14
11,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu.,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady.",15
12,Romští asistenti,Kraj by měl zvyšovat počet romských asistentů ve školách na svém území.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",16
13,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,,17
14,Zrušení tendru na busy,Liberecký kraj by měl zrušiti tendr na zajištění regionální autobusové dopravy od roku 2014.,Kraj vypsal veřejnou zakázku pro zajištění regionální autobusové dopravy od roku 2014. Podle mnohých kritiků je ale soutěž nastavena diskriminačně a veřejná zakázka by měla být vypsána znovu.,18
