id,motion:name,motion:text,motion:description,order
1,Výměna vedení královédvorské zoo ,Kraj by měl vyměnit vedení královédvorské zoologické zahrady.,Zoologická zahrada ve Dvoře Králové se potýká s kritikou především v souvislosti s odchodem z mezinárodních asociací WAZA a EAZA. Kritici to spojují s úpadkem úrovně zahrady.,1
2,Zamezení těžby břidlicového plynu,Kraj by v budoucnu neměl připustit těžbu břidlicového plynu na svém území.,Na území královéhradeckého kraje se nachází několik ložisek břidlicového plynu.,2
3,Redukce Přírodní rezervace Na Plachtě 3,Přírodní rezervace Na Plachtě 3 by měla být zredukována.,"Kraj letos vyhlásil přírodní rezervaci Na Plachtě 3 v Hradci Králové. Chráněné území se rozprostřelo i přes soukromé pozemky, které jejich vlastníci zakoupili se záměrem zde investovat.",3
4,Zrušení mýta mezi HK a Náchodem,Kraj by měl prosazovat zrušení mýta na silnici mezi HK a Náchodem.,"Silnice mezi Hradcem Králové a Náchodem je jednou z mála v ČR, kde nákladní automobily platí mýtné na normální silnici (nejen za dálnici).",4
5,Výuka polštiny,Kraj by ve svých školách v pohraničí měl zajistit (nepovinnou) výuku polštiny.,,5
6,Univerzita Hradec Králové,Kraj by měl (finančně) podporovat Univerzitu Hradec Králové.,,6
7,Rekonstrukce náchodské nemocnice,Kraj by  měl dokončit rekonstrukci náchodské nemocnice v plném rozsahu podle současného plánu.,,7
8,Privatizace  nemocnic,Krajské nemocnice by měly být zprivatizovány. ,"Krajská zdravotnická zařízení zřizovaná krajem formou akciové společnosti se dlouhodobě potýkají se ztrátovým hospodařením. Jednou z možných cest, kterou se dále vydat, je úplná privatizace nemocnic.",8
9,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",9
10,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,10
11,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",11
12,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru. ",,12
13,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",13
14,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",14
15,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Královéhradecký kraj zřizuje formou akciové společnosti pět krajských nemocnic. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",15
16,Rodinné pasy (zrušení),Královéhradecký kraj by měl ukončit financování projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",16
17,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,17
18,Stromořadí,Stromořadí podél silnic by měla být zachována.,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je kácí z důvodu zvyšování bezpečnosti dopravní infrastruktury.,18
19,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu.,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady.",19
20,Romští asistenti,Kraj by měl zvýšit počet romských asistentů na školách na svém území.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",20
21,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,,21
