id,motion:name,motion:text,motion:description,order
3,Samostatně výdělečná činnost,Kraj by neměl samostatně podnikat.,Kraj nyní podniká skrze příspěvkové organizace i přímo jakožto podnikatelský subjekt. To je mu – jakožto státní instituci – vytýkáno.,
5,Ekonomické priority kraje,"Kraj by měl daně používat především na zajištění infrastruktury a ochranu obyvatel, dotace by měly být omezeny.",,
6,Vyvolání krajského referenda,Krajské zastupitelstvo by mělo v rámci své zákonodárné iniciativy navrhnout snížení hranice počtu hlasů pro vyvolání krajského referenda a prosazení jeho závaznosti.,"Pro uspořádání krajského referenda je v současnosti třeba sehnat podpisy 6% počtu voličů v kraji, tedy zhruba 70 tisíc podpisů, což značně stěžuje jeho vyvolání.",
21,Dopravce v IDS JMK,Na dopravce v IDS JMK by mělo být vypsáno nové výběrové řízení.,"Nedostatečně rychlé reakce na změnu poptávky, finanční nesoběstačnost dopravců či drahé jízdné – to jsou hlavní uváděné argumenty, proč udělat nové výběrové řízení na dopravce v IDS JMK.",
22,Objem dopravy IDS JMK,"Objem dopravy IDS JMK by měl odpovídat poptávce obyvatel, i přesto, že to může být ekonomicky nevýhodné.",,
34,Využití zemědělské půdy,Zemědělská půda by neměla být používána ke stavebním účelům.,"V současné době jsou velké plochy úrodné zemědělské půdy mnohdy využívány k průmyslovým stavebním účelům, či za účelem výstavby fotovoltaických elektráren.",
36,Počet léčeben v kraji,Mělo by být zřízeno více protialkoholních a gamblerských léčeben a také zahájena preventivní kampaň.,V ČR je velký počet heren a z toho plynoucí vysoké riziko závislosti na hracích přístrojích a také míra alkoholismu dosahuje vysoké úrovně. Preventivní kampaň by těmto závislostem mohla předcházet a nová zařízení by pak pomáhala takto postiženým se ze své závislosti léčit.,
37,Integrace cizinců,Cizinci by měli být začleňováni do společnosti a kraj by na to měl vyhradit prostředky.,"Cizinci, ale i občané ČR – obzvlášť Romové – jsou u nás segregováni do zvláštních škol, sestěhováváni do tzv. vyloučených lokalit a diskriminováni na trhu práce, což přináší komplikace mimo jiné v podobě zvýšené kriminality. Vyčlenění prostředků kraje na vzdělávání romských mladistvých, poskytnutí dotovaných pracovních míst a vyvíjení dalších aktivit může tyto problémy pomoci odstranit.",
38,Podpora cyklodopravy,"Podpora cyklodopravy by měla růst na úkor dopravy automobilové, měla by se razantně rozšířit síť cyklostezek.",,
40,Spolupráce kraje s občany a neziskovými organizacemi,Kraj by měl při rozhodování více spolupracovat s občany a neziskovými organizacemi.,Spolupráce kraje s občany a neziskovými organizacemi na rovině názorové i odborné může být pro rozvoj kraje výhodné.,
45,Alternativní vzdělávání,Je třeba podpořit školy s alternativním vzděláváním.,"V kraji je většinově praktikována klasická forma vzdělávání, alternativní koncepce nejsou mnohdy občanům vůbec známy. Zasazení se o větší známost škol s alternativním systémem by měla vliv na rozvoj těchto forem vzdělávání.",
48,Osmiletá gymnázia,Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",
50,Slučování středních škol,Střední školy  by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,
54,Slovanská epopej,Kraj by se měl zasadit o navrácení Slovanské epopeje do Moravského Krumlova.,Dílo slavného českého malíře Alfonse Muchy je předmětem sporu mezi Hlavním městem Prahou a Moravským Krumlovem. Pro Moravský Krumlov a potažmo celý region měla přítomnost těchto pláten značný turistický význam.,
61,Privatizace nemocnic,Některé krajské nemocnice by měly být privatizovány.,Kraj zřizuje páteřní síť krajských nemocnic a ponechává si tak možnost kontroly nad jejich chodem. Hospodaření krajských nemocnic je ale dlouhodobě problematické a zatěžuje krajský rozpočet.,
62,Lokální farmářské produkty,Lokální farmářské produkty by měly být podpořeny krajskými dotacemi.,"Produkty lokálních farmářů jsou cenově znevýhodněny, protože jsou vyráběny v malém měřítku, ale za dodržování stejných předpisů jako při velkovýrobě.",
64,Projekt Rodinné pasy,Jihomoravský kraj by měl ukončit financování projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Cílem je podpora rodin s dětmi formou poskytování slev. Efektivita projektu je ovšem sporná.",
65,Zahraniční politika,Čeští politici by měli omezit styky se zástupci zemí porušujících lidská práva na minimum a nepodporovat investice těchto států v ČR.,"Jihomoravský hejtman Michal Hašek se letos v létě sešel s velvyslancem Čínské lidové republiky. Hlavním tématem jejich setkání byla podpora čínských investic v kraji, spolupráce českých a čínských regionů atd.",
66,Dotace průmyslových zón,"Kraj by měl investorům dotovat využití zchátralých průmyslových zón tak, aby se jim tyto investice vyplatily.","V Jihomoravském kraji dlouhodobě ubývá orné půdy. Příčinnou jsou rozrůstající se průmyslová či obchodní centra. Investorům se totiž nevyplatí upravovat opuštěné průmyslové zóny, tzv. brownfields.",
68,Dostavba R43,Rychlostní silnice R43 by měla být – v jakékoliv variantě – co nejrychleji vystavěna.,Výstavba silnice R43 byla již několikrát odložena a existuje několik jejích variant. Hustota dopravy v kraji ale již tuto silnici vyžaduje.,
