vote_event_id,voter_id,option,explanation
23,23,yes,
47,23,no,"Nie, lebo plot postavilo Maďarsko. Ale v núdzovom prípade treba zvážiť aj túto opciu."
1,23,yes,Štát by mal z daní financovať iba verejné statky a vlaková doprava k ním rozhodne nepatrí
24,23,yes,
7,23,no,"Myšlienka spoločného trhu je príliš dobrá na to, aby sme sa nepokúsili o zásadnú reformu EÚ"
44,23,no,
36,23,yes,
11,23,yes,
50,23,yes,
13,23,yes,
22,23,yes,
54,23,no,"Nie, považujeme to za zbytočné"
48,23,no,"Áno, platy učiteľov sú príliš nízke"
49,23,yes,"Áno, avšak platy majú byť rozdielne, lebo každá škola si ich stanoví podľa vlastného uváženia"
16,23,no,"Nie, výroba elektriny má byť len súkromná záležitosť"
30,23,yes,
31,23,yes,
40,23,no,"Nie, niekoľko málo typov očkovania má zostať povinných"
42,23,yes,
18,23,no,"Nie, výdavky na lieky treba obmedziť tak, že poisťovňa preplatí len generický liek"
45,23,abstain,"Toto sa nedá posúdiť, lebo rozhodujúce je množstvo"
29,23,yes,
25,23,no,
15,23,yes,
57,23,yes,
21,23,yes,
28,23,yes,
55,23,no,
59,23,yes,
17,23,yes,"Áno, ak je to súkromný zamestnávateľ. Najlepšia sociálna ochrana je dostatok pracovných miest."
58,23,no,
34,23,yes,"Študent by mal hradiť časť skutočných nákladov. Ak potrebuje, môže dostať bezúročnú pôžičku"
46,23,no,Nie. Vplyv na bezpečnosť štátu má naše členstvo v NATO.
6,23,no,"Nie, avšak maximálna povolená rýchlosť by mala byť stanovená podľa konkrétneho úseku a kludne aj vyššia ako 130 km/h"
9,23,no,"Nie, lebo v tomto momente nie je známe, čo všetko zmluva obsahuje"
27,23,no,"Nie, inštitúcie by mali byť tam, kde to dáva zmysel. Napríklad úrad splnomocnenca pre Rómov by mal byť v Prešove"
38,23,no,
5,23,no,
41,23,no,"Ako vidieť, nie sú. Riešenie je všetky nemocnice odštátniť"
52,23,no,"Nie, lebo slovenčina je štátny jazyk"
32,23,yes,
12,23,no,"Nie, lebo nie je dobré meniť každú chvíľu takto závažné pravidlá"
33,23,yes,"Áno, ide takmer výlučne o verejné zdroje, občania majú nárok vedieť, ako strany s nimi nakladajú"
2,23,no,"Najefektívnejšia je jedna sadzba dane. Okrem toho nižšia sadzba DPH na potraviny je veľmi nákladná sociálna pomoc, lebo z nej profitujú najmä bohatí"
26,23,no,
60,23,no,
56,23,no,
3,23,no,Stratégia Slovenska pri všetkých spotrebných daniach by mala byť držať sa minimálnych sadzieb stanovených EÚ
53,23,yes,"Áno, školy by mali mať možnosť slobodne rozhodovať o tom, ktoré predmety budú voliteľné."
4,23,no,"Nie, záujem štátu je dostať čím viac áut na diaľnicu, aby nezapchávali mestá a obce"
37,23,no,Navrhujeme existujúce pravidlo nemeniť
43,23,yes,
51,23,no,"Nie, sme za to, aby školy boli financované len cez normatív"
