vote_event_id,voter_id,option,explanation
1,124,yes,Pro určité záležitosti veřejného zájmu bych referendum zavedl.
10,124,no,Přece musí hlasovat většina a to je více než 50 %.
11,124,no,Musíme mít možnost dostatčně bránit naši zemi společnými silami.
12,124,no,"Co potom budeme dělat? Nelze srovnávat ČR se Švýcarskem a Norskem, na to si snad odkáže odpovědět každý sám."
13,124,yes,"Přece každý ví, co může jednotlivec nabýt poctivě a co nelegálně. Nelegálně nabyté věci by měly být odebrány."
14,124,yes,Tak jak je to u jiných jazyků.
15,124,no,"Každý se má chovat tak, aby se nedostal do rozporu se zákonem."
16,124,no,Jsou výchovným prostředkem pro pacienty resp. klienty přicházející do zdravotnictví.
17,124,no,Je to rozhodnutí ženy a musí takové právo mít zajištěné. Diskuse o tom mohou vést pouze ženy.
18,124,no,Je to ústavní pojistka.
19,124,no,"Zálěží na každém, zda ho bude mít nebo ne."
2,124,no,"Při uzavírání smluv by se měl každý subjekt chovat jako správný resp. odpovědný hospodář. Jsem přesvědčen o tom, že lidé na takové úrovni by neměli podléhat nekalým úmyslům. Vyspělá a moderní společnost nemůže každého podezřívat z nekalé činnosti. Pak se dostáváme do horší situace než byla za socilaismu. Pokud takové praktiky zavedeme, tak se dosáváme do dalšího stádia socilaismu."
20,124,no,V ČR každý kopíruje cokoliv a kdykoliv. V západné Evropě tomu tak není.
21,124,no,"V žádném případě, je to proti zákonům přírody."
22,124,yes,"Je to logické, protože v parlamentu prosedí mnoho drahocenného času."
23,124,yes,"Ze závěrů dějin, ale nezkreslených, je nutné vycházet pro budoucnost."
24,124,no,"Pokud je nepřetžitý provoz ve většině provozů, pak nevidím žádný důvod."
25,124,no,"Zákon musí připravit odborníci a život není o kvantitě zákonů. Pro spořádaný život postačuje pár základních (o účetnictví, o hodnotě, mravnosti apod.)."
26,124,no,Není přístupný pro všechny vrstvy obyvatel.
27,124,yes,Obdobně jako je to v jiných náboženských uskupeních.
28,124,yes,Pro některé případy ano. Působ by výchovně pro těžké trestné činy.
29,124,no,"Nemusí, ale nesmí být nehorázné, jako se tak děje dnes. Je to opět na vyspělosti osobností, zda si nechají nestoudné platy vyplácet a proč."
3,124,yes,"Pokud stát je v těchto institucích majoritním nebo částečným vlastníkem, pak jsem pro kontrolu NKÚ. Víme ze zkušenosti, že tyto společnosti nefukgují tak jak by měly."
30,124,no,"To co říkají kritici je pravda, jedná se o nebezpečné věci, které mohou Evropu zatáhnout do nevratných problémů, např. těžba břidlicových plynů. Pokud se používá chemický roztok, hrozí likvidace pitné vody."
31,124,no,"Zavání to velmi minulým režimem, který byl založen na kvótách. Na funkci musí každý tzv. dozrát. Pokud tak budou připraveny ženy, pak tam budou."
32,124,no,"Pak se stane, že máme takového prezidenta, za kterého se stydíme."
33,124,yes,"Asi ano, ale nejsem si jist komu to bude sloužit."
34,124,yes,"Podle zákona o účetnictví je to samozřejmé, nevím proč se někdo může takto ptát. Zákon platí jednoznačně pro všechny subjekty."
35,124,yes,Je to důležité s ohledem na omezenost fosilních paliv.
36,124,no,"Musí být taková, aby se naplnila příjmová stránka státního rozpočtu. Proč se nenaplňuje z jiných zdrojů to nechám na odpověď pro každého jedince. Je to velmi snadné odpovědět, pokud ne, pak se neptejte ani na poskytování úvěrů a kdo by je měl poskytovat (viz níže)."
37,124,no,Nevidím proto žádný důvod.
38,124,yes,Jako tomu je ve všech vyspělých státech Evropy.
39,124,no,Podle výkonu a odpovědnosti.
4,124,yes,"Jistá progrese by měla být, ale ne na úkor toho, že více zdaněný příjem bude evokovat vyšší nezákonný příjem, aby došlo ke kompenzaci."
40,124,no,Měla by být povinná předškolní docházka jeden rok před základní školou jako tomu je v jiných vyspělých zemích v Evropě.
41,124,no,"To jsou regulace, které k ničemu nevedou a jenom degradují tržní prostředí."
42,124,no,Není proto žádný důvod.
43,124,no,"Každý musí tak odpovědný, aby se nedostal do finančních potíží. Podívejte se jak fungovala první republika a jak školil zaměstnance Baťa."
44,124,no,"Je třeba změnit celý systém zaměstnanosti, na jedné straně ca jeden ročník populace je zaměstnán jako důchodci a pak pro mladé není práce. V SRN k tomu přistupují při odchodu do penze následovně: ""Naší morální povinností je odejít do důchodu, aby mladí měli práci"". Podív ejte se jak fukguje penzijní systém v okolních zemích, možná se z toho poučíte."
45,124,no,"Již tak je enormě vysoká, vede to k pančování alkoholu a náklady na následnou zdravotní péči jsou enormě vysoké."
46,124,no,"Správný hospodář, to je stát, tak by měl fungovat, na postech ministrů musí být odborníci, pak není třeba žádné sdružení ""Rekonstrukce státu"". Připomíná mi to dobu minulého režimu."
5,124,no,"V restauracích mohou být kuřácké, nekuřácké prostory a nebo kombinace těchto prostorů, aby zákazník si mohl vybrat. Kdo chce a bude kouřit, pak pro něho mohou existovat pouze kuřácké restaurace."
6,124,yes,Měla by to být podmínka pro jednotnou Evropu.
7,124,no,"Studium musí být dostupné pro všechny stejně, je to důležité pro budoucnost celé země."
8,124,no,Nevím jaký by to mělo význam. Centralizace je výhodnější a efektivnější.
9,124,yes,U těžkých případů onemocnění.
1,195,yes,
10,195,no,
11,195,no,
12,195,no,
13,195,abstain,Jako advokát vnímám hrozbu zneužití tohoto ustanovení pro likvidaci nepohodlných osob.
14,195,yes,
15,195,yes,
16,195,abstain,Věc už je stejně rozhodnuta. Od 1. ledna 2015 jsou poplatky zrušeny.
17,195,yes,
18,195,no,
19,195,yes,
2,195,abstain,"Jsem jednoznačně pro zveřejňování smluv na internetu, ale platnost smlouvy vázaná na zveřejnění na internetu je proti podstatě právního systému v ČR."
20,195,yes,
21,195,no,
22,195,yes,
23,195,yes,
24,195,no,
25,195,yes,
26,195,yes,
27,195,abstain,
28,195,no,
29,195,yes,
3,195,yes,
30,195,yes,Zatím není k dispozici ani návrh smlouvy.
31,195,no,
32,195,yes,
33,195,yes,
34,195,yes,
35,195,no,
36,195,yes,
37,195,no,
38,195,no,
39,195,yes,
4,195,yes,
40,195,yes,
41,195,no,
42,195,yes,
43,195,yes,
44,195,yes,
45,195,no,
46,195,yes,
5,195,no,
6,195,yes,Nejsem si jistý zda zavedení eura je vhodné zrovna v tuto dobu.
7,195,no,"Nicméně jsem pro přísnější kontrolu vysokých škol ze strany státu, protože někteří studenti tento systém zneužívají v oblasti platby sociálního a zdravotního pojištění."
8,195,yes,
9,195,no,
1,227,yes,
10,227,yes,
11,227,no,
12,227,no,
13,227,no,
14,227,no,
15,227,no,
16,227,yes,
17,227,no,
18,227,no,
19,227,no,
2,227,yes,
20,227,yes,
21,227,no,
22,227,no,
23,227,no,
24,227,yes,
25,227,yes,
26,227,no,
27,227,yes,
28,227,no,
29,227,no,
3,227,yes,
30,227,no,
31,227,no,
32,227,yes,
33,227,no,
34,227,yes,
35,227,no,
36,227,yes,
37,227,no,
38,227,no,
39,227,no,
4,227,no,
40,227,yes,
41,227,no,
42,227,yes,
43,227,no,
44,227,yes,
45,227,no,
46,227,yes,
5,227,yes,
6,227,yes,
7,227,no,
8,227,yes,
9,227,no,
1,142,yes,"Ale až na základě určitého počtu nashromážděných podpisů, například 500 000"
10,142,no,
11,142,no,
12,142,no,
13,142,yes,"Ano, ale pouze u majetku nad určitou hranici, například 20 milionů Kč."
14,142,abstain,
15,142,yes,
16,142,yes,"Ano, ale ponechal bych například za využití pohotovostní služby."
17,142,no,
18,142,no,
19,142,yes,
2,142,yes,
20,142,yes,
21,142,no,
22,142,abstain,
23,142,abstain,
24,142,yes,
25,142,no,
26,142,no,
27,142,abstain,
28,142,no,
29,142,no,
3,142,yes,
30,142,abstain,
31,142,no,
32,142,yes,
33,142,yes,
34,142,yes,
35,142,abstain,
36,142,yes,
37,142,no,
38,142,yes,
39,142,abstain,
4,142,yes,
40,142,yes,
41,142,yes,
42,142,no,
43,142,yes,
44,142,no,
45,142,no,
46,142,abstain,
5,142,no,"Ne, ale měla by být povinnost vyhradit stavebně oddělený nekuřácký prostor."
6,142,no,
7,142,no,
8,142,abstain,
