id,motion:name,motion:text,motion:description,order
1,Letiště České Budějovice,Kraj by měl spolufinancovat modernizaci Letiště České Budějovice a usilovat o jeho transformaci v mezinárodní letiště. ,Jihočeský kraj je spoluvlastníkem akciové společnosti Jihočeské letiště České Budějovice provozující Letiště České Budějovice. Jeho modernizace a transformace v mezinárodní letiště je v dlouhodobém výhledu kontroverzní záležitostí.,1
2,Jihočeská centrála cestovního ruchu,Zachování Jihočeské centrály cestovního ruchu je důležité pro rozvoj cestovního ruchu v kraji. ,"Jihočeský kraj je mimo jiné zřizovatelem příspěvkové organizace Jihočeská centrála cestovního ruchu. Ta má na starosti propagaci a koordinaci rozvoje cestovního ruchu v kraji, na druhou stranu je pochopitelně spojena s výdaji v krajském rozpočtu.",2
3,"JIKORD, s.r.o.","Jihočeský kraj by měl za účelem zvýšení efektivity regionální dopravy i nadále využívat služeb firmy JIKORD, s.r.o.","Jihočeský kraj pro koordinaci regionální dopravy zřídil firmu JIKORD, s.r.o. Podle zastánců je firma zárukou efektivního uspořádání regionální dopravy, podle kritiků jde o zbytečně vynaložené prostředky.",3
4,Bojkot dostavby Temelínu,Jihočeský kraj by neměl připustit rozšíření JE Temelín ani za cenu dostavby dálnice D3.,"Jihočeský kraj má zásadní pravomoci při schvalování dostavby 3. a 4. bloku Jaderné elektrárny Temelín. Část regionálních politiků podporu dostavbě připouští, pokud stát podnikne kroky k dokončení dálnice D3.",4
5,Splavnění Vltavy,Projekt splavnění Vltavy by měl být dokončen.,Úsek Vltavy spojující České Budějovice s Prahou by měl být definitivně splavněn dokončením posledních vodních staveb během příštího roku. Podle kritiků projektu jeho nákladnost neodpovídá potenciálu jeho budoucího využití.,5
6,Snížení ochrany v NP Šumava,"Míra ochrany NP Šumava by měla snížena tak, aby umožňovala kácení ve všech jeho oblastech napadených kůrovcem.","Národní park je v současnosti zřízen vládní vyhláškou, do parlamentu již ale doputoval návrh zákona o NP Šumava. Lze ovšem očekávat, že diskuse o budoucnosti parku budou pokračovat i po krajských volbách, přičemž případná nová stanoviska krajských samospráv budou pro budoucnost parku zásadní.",6
7,Jihočeská univerzita,Kraj by měl (finančně) podporovat Jihočeskou univerzitu.,,7
8,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",8
9,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,9
10,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",10
11,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",11
12,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",12
13,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Jihočeský kraj zřizuje formou akciové společnosti síť páteřních nemocnic. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",13
14,Rodinné pasy (zrušení),Jihočeský kraj by měl ukončit financování projektu Rodinné pasy. ,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",14
15,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,15
16,Stromořadí,Stromořadí podél silnic by měla být zachována. ,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je likvidují z důvodu zvyšování bezpečnosti dopravní infrastruktury.,16
17,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu.,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady. Stále častěji se proto mluví o podpoře hromadné dopravy.",17
18,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",18
19,Romští asistenti,Kraj by zvýšit počet romských asistentů na školách na svém území.,,19
