id,date,motion:title,motion:legislative_session,motion:legislative_session_type,motion:session,motion:session_type,count:yes,count:no,count:abstain,count:obstraction,count:blank
49-000559,1991-03-06T19:16:06,SUBEMENDA SUBSTITUTIVA PLC 223/90,CD01,ordinary,1,ordinary,415,13,3,0,0
49-000560,1991-03-06T20:49:31,"DESTAQUE DA EXPRESSAO E TRIBUTARIA... ART3, INCISO 3",CD01,ordinary,1,ordinary,210,167,7,0,0
49-000561,1991-03-06T21:19:39,ARTIGO 9 DA SUBEMENDA SUBSTITUTIVA,CD01,ordinary,1,ordinary,17,162,6,0,0
49-000562,1991-03-20T18:54:48,DVS AO ART. 9 DA SUBEMENDA SUBSTITUTIVA.,CD01,ordinary,1,ordinary,241,177,4,0,0
49-000563,1991-03-20T19:28:58,"DVS EXPRESSAO ""MEDIANTE LEI"" (ART. 11 DA  SUBEMENDA)",CD01,ordinary,1,ordinary,281,81,2,0,0
49-000564,1991-03-20T19:54:53,DVS AO PAR. UNICO DO ART. 11,CD01,ordinary,1,ordinary,6,341,3,0,0
49-000565,1991-03-20T20:17:40,"SUPRESSAO EXPRESSAO ""CONVINIENCIA"" E ""OPORTUNIDADE""",CD01,ordinary,1,ordinary,109,182,1,0,0
49-000566,1991-03-20T20:32:15,DESTAQUE INCISO V DO ART. 3,CD01,ordinary,1,ordinary,100,178,4,0,0
49-000567,1991-04-04T17:15:31,SUBEMENDA A EMENDA N.5.,CD01,ordinary,2,ordinary,43,263,6,0,0
49-000568,1991-04-25T18:34:27,REQUERIMENTO DE URGENCIA RES. N.18/91.,CD01,ordinary,4,ordinary,192,4,9,0,0
49-000569,1991-04-25T19:01:24,EMENDA N.9 RES.18,CD01,ordinary,4,ordinary,17,173,5,0,0
49-000570,1991-05-14T16:44:39,"PLC N.240-D, /90 - SUBSTITUTIVO DO SENADO FEDERAL",CD01,ordinary,5,ordinary,13,279,7,0,0
49-000571,1991-05-14T17:00:05,ART 1 INCISO 8 DO SUBSTITUTIVO DO SENADO,CD01,ordinary,5,ordinary,286,5,3,0,0
49-000572,1991-05-14T17:11:32,PLC 240/90 ART.2 SUBST. DO S.F. RESSALVADO A EXPRESSAO,CD01,ordinary,5,ordinary,264,3,3,0,0
49-000573,1991-05-14T17:21:00,PLC 240/90 ART 3 SUBST. DO S.F. RESSALVADO A EXPRESSAO,CD01,ordinary,5,ordinary,264,5,1,0,0
49-000574,1991-05-14T17:34:34,PLC N.241/90 - SUBSTITUTIVO DO SENADO FEDERAL,CD01,ordinary,5,ordinary,14,250,3,0,0
49-000575,1991-05-15T15:50:01,REQUERIMENTO DE VOTACAO EM GLOBO.,CD01,ordinary,5,ordinary,252,6,5,0,0
49-000576,1991-05-15T16:05:53,PLC N.241 - MATERIA DESTACADA EM GLOBO.,CD01,ordinary,5,ordinary,303,3,3,0,0
49-000577,1991-05-15T16:17:20,PLC N.242 SUBSTUTUTIVO DO SENADO,CD01,ordinary,5,ordinary,5,298,3,0,0
49-000578,1991-05-15T16:31:56,PLC 242. MATERIA DESTACADA EM GLOBO,CD01,ordinary,5,ordinary,305,3,2,0,0
49-000579,1991-05-16T16:23:14,ADIAMENTO DE DISCUSSAO PLC N.202.,CD01,ordinary,5,ordinary,14,111,11,0,0
49-000580,1991-05-22T16:47:19,PDL 369/90,CD01,ordinary,6,ordinary,217,104,5,0,0
49-000581,1991-05-22T17:42:20,pdl 374/90,CD01,ordinary,6,ordinary,177,91,7,0,0
49-000582,1991-05-22T18:05:09,PDL 370/90,CD01,ordinary,6,ordinary,159,103,9,0,0
49-000583,1991-06-19T17:19:21,REQ. RETIRADA DE PAUTA DO PL 1232/91,CD01,ordinary,8,ordinary,247,124,7,0,0
49-000584,1991-06-19T19:29:43,DEST.SUPRE.INC.2 ART.25 SUBST.SEGURIDADE,CD01,ordinary,8,ordinary,244,153,2,0,0
49-000585,1991-06-20T16:34:09,INVERSAO DA PAUTA,CD01,ordinary,8,ordinary,199,117,4,0,0
49-000586,1991-06-25T18:31:51,REQ. PREF. TEXTO FINANCAS,CD01,ordinary,8,ordinary,74,320,4,0,0
49-000587,1991-06-25T20:17:40,"DVS SERRA EXPRESSAO  QUE ATINJAM...ART.2, III",CD01,ordinary,8,ordinary,163,225,2,0,0
49-000588,1991-06-25T21:33:27,DESTAQUE SUPRESSAO ART. 13,CD01,ordinary,8,ordinary,41,220,2,0,0
49-000589,1991-06-26T17:27:29,EMENDAS DO SENADO PLP 181/89,CD01,ordinary,8,extraordinary,12,312,9,0,0
49-000590,1991-06-27T20:24:53,PL 912/91  DVS  ART.76 SUBSTITUTIVO,CD01,ordinary,8,ordinary,251,129,4,0,0
49-000591,1991-06-28T13:21:20,REQ.URGENCIA PDL 66/91,CD01,ordinary,8,ordinary,118,166,6,0,0
49-000592,1991-06-28T14:18:19,EMENDA N. 28 PL 1050/91,CD01,ordinary,8,ordinary,115,162,4,0,0
49-000593,1991-06-28T16:35:58,EMEND.AGLUTINATIVA ART.40 PL 1050/91,CD01,ordinary,8,ordinary,143,156,1,0,0
49-000594,1991-08-07T20:30:19,PL 1390 - EMENDA N. 37,CD01,ordinary,9,ordinary,237,191,3,0,0
49-000595,1991-08-07T21:30:13,PL 1390 - EMENDA N. 40,CD01,ordinary,9,ordinary,218,168,4,0,0
49-000596,1991-08-07T21:45:15,PL 1390 - EMENDA N. 41,CD01,ordinary,9,ordinary,266,80,5,0,0
49-000597,1991-08-07T22:02:02,PL 1390 - EMENDA N. 46,CD01,ordinary,9,ordinary,264,55,3,0,0
49-000748,1991-08-14T18:00:22,PARECER DA CCJR - OF. 373-P/91 - STF,CD01,ordinary,9,ordinary,366,35,13,0,0
49-000598,1991-08-21T16:31:08,VERIFICACAO REQ. ADIAMENTO DISCUSSAO PARECER 18/90,CD01,ordinary,10,ordinary,190,105,9,0,0
49-000599,1991-08-28T19:38:09,REQUERIMENTO DE PREFERENCIA EMENDA N.30,CD01,ordinary,10,extraordinary,218,226,3,0,0
49-000600,1991-08-28T20:10:07,SEGUNDO SUBSTITUTIVO DA C. DE TRABALHO - PL 638/91.,CD01,ordinary,10,extraordinary,245,195,4,0,0
49-000601,1991-09-04T17:35:30,PL 4570 /89 RECURSO ART. 132 PARAGRAFO 2.SS,CD01,ordinary,11,ordinary,111,192,6,0,0
49-000602,1991-09-04T19:48:28,ADIAMENTO VOTACAO PDL 87/91,CD01,ordinary,11,ordinary,66,196,4,0,0
49-000603,1991-09-17T18:03:03,PL N. 1263/91 SUB EMENDA N. 3 COM. DE SEGURIDADE,CD01,ordinary,12,ordinary,260,97,8,0,0
49-000604,1991-09-19T13:55:33,PDL 66/91 REQUERIMENTO DE URGENCIA,CD01,ordinary,12,extraordinary,118,229,1,0,0
49-000749,1991-09-25T18:14:01,PARECER CCJR - LICENCA RAQUEL CANDIDO,CD01,ordinary,13,ordinary,266,56,14,0,0
49-000605,1991-10-08T18:11:51,PL 1911/91 SUBST.- CDCMAM,CD01,ordinary,14,ordinary,255,54,9,0,0
49-000606,1991-10-23T16:53:34,recursso 1/91questao de ordem pl 824/91,CD01,ordinary,15,ordinary,89,241,3,0,0
49-000607,1991-10-23T18:41:57,PL 4790/90 - SUBSTITUTIVO SENADO FEDERAL,CD01,ordinary,15,ordinary,213,10,4,0,0
49-000608,1991-10-29T17:15:47,PL 4790/90 = SUBSTITUTIVO DO SENDO FEDERAL,CD01,ordinary,15,ordinary,230,64,10,0,0
49-000610,1991-11-06T16:51:33,PEC 45/91 - SUBSTITUTIVO DA COMISSAO ESPECIAL,CD01,ordinary,16,ordinary,407,8,5,0,0
49-000611,1991-11-07T17:05:13,PDL N.63/91,CD01,ordinary,16,ordinary,186,10,10,0,0
49-000612,1991-11-26T16:53:18,REQUERIMENTO VOTO LOUVOR - OLIMPIADA 2.000.,CD01,ordinary,17,ordinary,74,3,7,0,0
49-000613,1991-11-27T16:35:39,REQUERIMENTO VOTO LOUVOR - OLIMPIADA 2.000.,CD01,ordinary,17,ordinary,40,5,3,0,0
49-000614,1991-11-28T18:57:07,PL N. 822/91.,CD01,ordinary,17,ordinary,153,39,6,0,0
49-000615,1991-12-03T17:05:55,PL 822/91,CD01,ordinary,18,ordinary,218,73,7,0,0
49-000616,1991-12-03T18:42:27,PL N. 1793/91 - DVS ART. 11 DO SUBSTITUTIVO DO S.F.,CD01,ordinary,18,ordinary,262,57,4,0,0
49-000617,1991-12-03T20:40:11,PL N. 5996/90 - SUBSTITUTIVO CCTCI.,CD01,ordinary,18,ordinary,220,16,4,0,0
