id,motion:name,motion:text,motion:name:en,motion:text:en,order
1,Atomkraftwerke,Die Laufzeit der Atomkraftwerke soll verlängert werden.,Nuclear power,Nuclear power plants should be kept running longer than previously planned.,1
2,Mindestlohn,Einführung eines flächendeckenden gesetzlichen Mindestlohnes.,Minimum wage,A nationwide minimum wage should be introduced.,2
3,Afghanistan,Die Bundeswehr soll sofort aus Afghanistan abgezogen werden.,Afghanistan,The German military should leave Afghanistan immediately.,3
4,EU-Austritt,Deutschland soll aus der EU austreten.,Leaving the EU,Germany should leave the European Union.,4
5,Managergehälter,Unternehmen sollen über die Höhe von Managergehältern frei entscheiden können.,Executive pay,Companies should be free to decide how much to pay their executives.,5
6,Online-Durch- suchung,Die verdeckte Online-Durchsuchung privater Computer durch Sicherheitsbehörden soll verboten werden.,Online investigations,German authorities should be banned from conducting secret online investigations of private computers.,6
7,Studiengebühren,Das Erststudium soll gebührenfrei sein.,Tuition fees,Students should not pay tuition fees for their first university-level degree.,7
8,Sprachtests für Kinder,In allen Bundesländern: Einführung verbindlicher Sprachtests für alle Kinder im Vorschulalter.,Language tests for children,All German states should implement obligatory language tests for preschool-aged children.,8
9,Tierversuche,Ausnahmsloses Verbot von Tierversuchen.,Animal testings,Ban animal testing without exceptions.,9
10,staatliche Beteiligung an Banken,Die staatliche Beteiligung an privaten Banken darf nur eine vorübergehende Notlösung sein.,State ownership of banks,State ownership of private banks must be of a temporary nature only.,10
11,Menschenrechte,"Handelsbeziehungen mit Staaten, die Menschenrechte missachten, sollen eingestellt werden.",Human rights,Trade relations with those countries abusing human rights should be terminated.,11
12,Frauenquote,Bei der Besetzung von Führungspositionen soll eine gesetzliche Frauenquote gelten.,Quotas for women,There should be a legal quota of leadership positions set aside for women.,12
13,Unternehmens- steuer,Die Steuern für Unternehmen sollen gesenkt werden.,Corporate taxes,Corporate taxes should be lowered.,13
14,Volksentscheide,Einführung von Volksentscheiden auch auf Bundesebene!,Referenda,Voters should be able to decide national issues via referenda.,14
15,Betreuungsgeld,"Eltern, die für ihre Kinder keinen Krippenplatz in Anspruch nehmen, sollen ein Betreuungsgeld erhalten.",Childcare subsidy,Parents choosing not make use of a day care spot should receive a childcare subsidy.,15
16,Ausbildungs- platzgarantie,Jedem Jugendlichen soll ein Ausbildungsplatz gesetzlich garantiert werden.,Apprenticeship guarantee,Every youth should be guaranteed an apprenticeship.,16
17,Kündigungsschutz,Der betriebliche Kündigungsschutz soll gelockert werden.,Job-protection measures,Job-protection measures should be loosened.,17
18,EU-Beitritt der Türkei,Die Türkei soll die Vollmitgliedschaft in der EU erhalten.,Turkey~@-@~s EU membership bid,Turkey should be allowed to become a full member of the EU.,18
19,Tempolimit,Generelles Tempolimit auf deutschen Autobahnen.,Speed limits,There should be a general speed limit on German autobahns.,19
20,BAföG,"Studierende, Schüler/-innen und Auszubildende sollen unabhängig vom Einkommen der Eltern einen Anspruch auf BAföG haben.",Financial aid for students,Students and apprentices should have a right to financial aid (BAföG) regardless of income of their parents.,20
21,D-Mark,Die D-Mark soll wieder eingeführt werden.,Deutsche mark,The Deutsche mark should replace the euro.,21
22,Ökologische Landwirtschaft,Die ökologische Landwirtschaft soll vom Staat finanziell stärker gefördert werden.,Ecological farming,Ecological farming should receive more aid from the government.,22
23,Christliche Werte,Christliche Werte sollen das Leitbild deutscher Politik sein!,Christian values,Christian values should be the guiding factor for German politics.,23
24,Bahn- privatisierung,Die Bahn soll vollständig in staatlicher Hand sein.,Railway privatisation,German railway operator Deutsche Bahn should remain entirely owned by the state.,24
25,Wehrpflicht,Die Wehrpflicht soll in ihrer jetzigen Form beibehalten werden.,Military conscription,Military conscription should be retained in its current form.,25
26,Gentechnisch veränderte Lebensmittel,In Deutschland sollen gentechnisch veränderte Lebensmittel produziert werden dürfen.,Genetically modified food,Germany should allow the production of genetically modified food.,26
27,Adoptionsrecht,Vollständiges Adoptionsrecht für gleichgeschlechtliche Lebenspartnerschaften.,Gay adoption,Gay couples should have fully equal rights to adopt children.,27
28,Vermögenssteuer,Die Vermögenssteuer soll wieder eingeführt werden.,Wealth taxes,Germany should reinstate a tax on wealth.,28
29,Bildungspolitik,Bildungspolitik soll Ländersache bleiben.,Education policy,Education policy should be determined at the state level.,29
30,Asylrecht,"Die Möglichkeit, in Deutschland Asyl zu erhalten, soll erleichtert werden.",Asylum,It should be made easier to receive asylum in Germany.,30
31,Praxisgebühr,Die Praxisgebühr soll abgeschafft werden.,Doctor co-payment,Co-payment fees for doctor visits should be eliminated.,31
32,Rentengarantie,"Wenn die Löhne sinken, müssen die gesetzlichen Renten entsprechend gekürzt werden.",Pension guarantees,"If wages sink, state pensions must be cut accordingly.",32
33,Rüstungsexporte,Generelles Verbot von Rüstungsexporten deutscher Firmen.,Weapons exports,German firms should not be allowed to export weapons.,33
34,Schulsystem,Das gegliederte Schulsystem (Haupt- /Realschulen und Gymnasien) soll beibehalten werden.,School system,"Germany~@-@~s structured school system with Haupt, Real and Gymnasium secondary schools should be retained.",34
35,Kommunales Wahlrecht,"Kommunales Wahlrecht für alle, die dauerhaft in Deutschland leben.",Municipal voting rights,Everyone with permanent residency in Germany should be allowed to vote in municipal elections.,35
36,Arbeitslosengeld II,"Die Regelsätze für das Arbeitslosengeld II (""Hartz-IV"") sollen deutlich angehoben werden.",Unemployment benefits,Unemployment benefits known as Hartz IV should be raised significantly.,36
37,Bundeswehr im Innern,Zur Terrorismusbekämpfung soll die Bundeswehr auch im Innern eingesetzt werden können.,Domestic deployment of the Bundeswehr,The German military the Bundeswehr should be deployed domestically to fight terrorism.,37
38,Demokratie,"Die Demokratie, die wir in der Bundesrepublik haben, ist die beste Staatsform.",Democracy,The type of democracy Germany has is the best form of government there is.,38
