id,motion:text,motion:text:en,motion:text:es
6078,Burgers moeten de minister-president kiezen.,Citizens should elect the prime minister.,Los ciudadanos deben elegir al presidente del gobierno.
6135,De kinderbijslag moet omhoog.,Child benefit should be increased.,El dinero del subsidio familiar debe aumentar.
6136,"Wie meer verdient, moet meer premie betalen voor de zorgverzekering.",The more you earn the larger the contribution you should pay for health insurance.,"Cuanto más alto es el salario, más debe pagar esa persona por su seguro sanitario."
6137,Ouders die werken moeten betalen voor kinderopvang.,Working parents should pay for child care facilities.,"Padres que tienen trabajo, deben pagar ellos la guarderia de sus hijos."
6113,"Als je thuiszorg nodig hebt, moet je daar aan meebetalen.",If you need home care you should contribute towards it.,"Quien necesita ayuda doméstica, tiene que pagar por ella."
6139,Jongeren tot 27 jaar moeten geen bijstand meer krijgen.,Young people under the age of 27 should no longer receive social security benefits.,Jóvenes menores de 27 años no deben tener derecho a recibir el subsidio asistencial mínimo.
6111,Vanaf 65 jaar krijgt iedereen een AOW-uitkering. Toekomstige ouderen met AOW en een pensioen van meer dan 15.000 euro moeten zelf gaan meebetalen aan deze uitkering.,"Everyone receives state old age pension from the age of 65. People who in the future receive state old-age pension and a pension of over 15,000 euro should themselves pay contributions towards this benefit.","A partir de los 65 años todos tenemos derecho a AOW (pensión pública). Los futuros mayores que reciben una pensión pública complementada con un plan de pensión privado de más de 15.000 Euros, deberán contribuir (a través de los impuestos) a pagar los gastos del Estado con la pensión pública."
6141,Het moet voor werkgevers gemakkelijker worden om werknemers met een vaste baan te ontslaan.,It should be easier for employers to terminate the employment of staff with a fixed contract.,Despedir a trabajadores debe ser más facil.
6088,Hasj en andere softdrugs moeten niet langer verboden zijn.,Cannabis and other soft drugs should be decriminalised.,El Hachís y otras drogas blandas no deben estar prohibidas.
6092,Het bestrijden van terrorisme is belangrijker dan de persoonlijke vrijheid en privacy van burgers.,Tackling terrorism is more important than the personal freedom and privacy of the individual.,La lucha contra el terrorismo es más importante que la libertad individual y que el derecho a la privacidad de los ciudadanos.
6094,Iedereen van 14 jaar en ouder moet nu kunnen aantonen wie hij of zij is. De regering moet deze identificatieplicht afschaffen.,Everyone over the age of 14 is required to be able to prove who is he or she is. The government should abolish this identification obligation.,Todos los ciudadanos mayores de 14 años tienen que poder identificarse. El gobierno debe abolir esta medida.
6176,"Iedereen mag zeggen wat hij wil, ook als dat discriminerend is voor andere mensen.","Everyone should be free to say what he wants, even if this discriminates against other people.","Todos debemos poder decir lo que queremos (libertad de expresión), incluso si lo que decimos discrimina a otras personas."
6124,Een leraar op een school met veel kinderen met een leerachterstand moet meer verdienen dan een leraar op een gewone school.,A teacher at a school with many children who have learning difficulties should earn more than a teacher at an ordinary school.,Un profesor de una escuela con muchos niños problemáticos debe ganar un salario más alto que un profesor de una escuela normal.
6126,De mavo bestaat nu niet meer als aparte school maar is een deel van het vmbo geworden. De mavo moet als aparte schoolsoort terugkomen.,Junior general secondary schools (MAVO) no longer exist as a school in their own right but have become part of the preparatory secondary vocational education system (VMBO). The MAVO should be restored as a separate type of school.,"El 'mavo' (escuela secundaria nivel medio) no existe ya como una escuela aparte, sino que se ha integrado al 'vmbo' (escuela de formación profesional). La educación 'mavo' debe volver a existir."
6127,Christelijke en islamitische scholen moeten leerlingen kunnen weigeren.,Christian and Muslim faith schools should have the right to refuse pupils.,Escuelas cristianas e islámicas deben tener el derecho de denegar la admisión a ciertos niños.
6118,"De regering betaalt nu mee aan de publieke netten Nederland 1, 2 en 3. Eén van deze netten moet weg.","The government currently subsidises the public television channels Netherlands 1, 2 and 3. One of these channels should be axed.","El gobierno financia las cadenas de televisión 1, 2 y 3. Uno de estos tres canales debe desaparecer."
6100,Euthanasie moet mogelijk blijven.,Euthanasia should be allowed.,La eutanasia debe seguir siendo posible.
6112,Iedereen moet voor zijn overlijden duidelijk maken of hij zijn organen wel of niet aan zieke mensen wil afstaan.,Everyone should make clear during their lifetime whether their organs may be donated to sick people after their death.,"Todos debemos, antes de morir, declarar si queremos que nuestros órganos sean donados para gente enferma."
