id,motion:name,motion:text,motion:description,order
1,Těžký průmysl,Těžký průmysl má i do budoucna zůstat prioritním průmyslovým odvětvím Moravskoslezského kraje. ,"Ostravsku se přezdívá ocelové srdce republiky. Vysoká koncentrace těžkého průmyslu má veliký ekonomický potenciál, stav ovzduší v Moravskoslezském kraji je ale jedním z nejhorších v Evropě. Kraj tak do budoucna stojí před dilematem.",1
2,Dostatečná úroveň cyklistické infrastruktury,Stávající podpora alternativních způsobů dopravy (např. cyklodopravy) ve městech je  Moravskoslezském kraji dostatečná.,V ekologicky zatíženém regionu může být velkým tématem vedle průmyslového znečištění i vliv dopravy. Nejčistší alternativou automobilismu je např. cyklodoprava.,2
3,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu. ,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady. Stále častěji se proto mluví o podpoře hromadné dopravy.",3
4,Kontroly lokálních topenišť,Kontroly lokálních topenišť v domácnostech by měl kraj podporovat.,"Vedle dopravy a průmyslu jsou významným zdrojem znečištění i domácnosti. V mnoha domácích kotlích jsou spalovány materiály, jejichž hořením unikají do ovzduší jedovaté látky.",4
5,Kotlíkové dotace,Kraj by měl dotovat výměnu kotlů v domácnostech. ,"S předchozí otázkou souvisí i to, zda by měla být z veřejných rozpočtů financovány výměna starých a neekologických domácích kotlů za nové.",5
6,Dotace na snižování emisí,Snižování emisí u velkých průmyslových zdrojů má být podporováno z veřejných financí.,"Provozovatelé průmyslových podniků nejsou vždy dostatečně motivováni, aby modernizovali své technologie a snížili svůj vliv na kvalitu ovzduší. Kromě represivních kroků lze motivovat průmyslníky i finančními příspěvky.",6
8,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",8
9,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,9
10,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",10
11,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",11
12,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",12
13,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Moravskoslezský kraj zřizuje síť páteřních krajských nemocnic. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",13
14,Rodinné pasy,Moravskoslezský kraj by se měl připojit k projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",14
15,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,15
16,Stromořadí,Stromořadí podél silnic by měla být zachována. ,V posledních letech výrazně ubývá stromořadí podél silnic. Správci komunikací je kácí z důvodu zvyšování bezpečnosti dopravní infrastruktury.,16
17,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",17
18,Romští asistenti,Kraj by měl zvyšovat počet romských asistentů ve školách na svém území. ,,18
19,Privatizace nemocnic,Nemocnice zřizované Moravskoslezským krajem by měly být zprivatizovány.,Krajské zdravotnictví je dlouhodobým problémem většiny krajů. Potýká se se ztrátovostí a místy s kolísavou kvalitou služeb. Jednou z možných variant budoucího vývoje je privatizace krajských zdravotnických zařízení.,19
20,Letiště Leoše Janáčka,Moravskoslezský kraj by měl do budoucna dále investovat do navýšení kapacity ostravského Letiště Leoše Janáčka. ,Moravskoslezský kraj je hlavním akcionářem společnosti Letiště Ostrava a.s. a vlastníkem letiště. Budoucnost letiště tak závisí na mínění krajské samosprávy.,20
21,Zamezení těžby uhlí v Beskydech,Moravskoslezský kraj by měl i nadále všemi prostředky bojovat proti snahám těžit uhlí v Beskydech. ,"Beskydy nejsou významné jen jedinečnou krajinou, ale i ložisky uhlí nalézajícími se pod jejím povrchem. Opakovaně se objevují snahy o obnovení těžby v tomto regionu. Kraj i okolní obce byly dosud proti.",21
