id,motion:name,motion:text,motion:description,order
1,Neprůmyslové využití holešovské zóny,Kraj by neměl v holešovské průmyslové zóně připustit těžkou výrobu a měl by hledat jiné než průmyslové využití zóny. ,Holešovská průmyslová zóna byla vybudována v ochranném pásmu zdroje pitné vody. Názory na možnost kontaminace spodních vod se různí. V současnosti chybí jasné regulativy přípustné a nepřípustné výroby.,1
3,Rozvoj holešovské zóny,Kraj by měl i nadále sledovat rozvoj holešovské průmyslové zóny jako jeden z hlavních strategických zájmů. ,"Kraj v minulosti investoval do akcií současného správce holešovské zóny 325 milionů korun. Kritici vedení kraje tento krok vyčítají, současné vedení si ale stojí za tím, že investice do holešovské zóny jsou zásadní pro ekonomický rozvoj kraje.",3
4,Využití regulačních poplatků,"Zisky z regulačních poplatků by měly být fixovány na zvýšení kvality doprovodných služeb v nemocnicích (stravování, vybavení pokojů apod.)","O kvalitách služeb v krajských nemocnicích se vedou dlouhodobé debaty. K zvýšení kvality v některých případech nepřispělo ani zavedení regulačních poplatků, které navýšily příjmy nemocnic.",4
5,Zvýšení dotací na památky,Kraj by měl do budoucna výrazně navýšit dotace na památky.,"Zlínský kraj letos rozdělil dotace na údržbu a rekonstrukce památek ve výši 6 milionů korun. Dotace připadly jak obcím, tak soukromým vlastníkům památek.",5
6,Univerzita Tomáše Bati,Kraj by měl (finančně) podporovat Univerzitu Tomáše Bati ve Zlíně.,,6
7,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",7
8,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,8
9,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",9
10,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru. ",,10
11,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",11
12,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy.,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",12
13,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře. ,"Zlínský kraj zřizuje formou akciových společností síť páteřních nemocnic Zlínského kraje. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",13
14,Rodinné pasy (zrušení),Zlínský kraj by měl ukončit financování projektu Rodinné pasy.,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Cílem je podpora rodin s dětmi formou poskytování slev.",14
15,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,15
17,Hromadná doprava vs. automobilová,Investice do hromadné dopravy by měly mít přednost před rozvojem infrastruktury pro osobní automobilovou dopravu. ,"Osobní automobilová doprava je dnes naprosto běžná, v ČR připadá jeden osobní automobil zhruba na 2,5 člověka. Přesto jsou ale s tímto fenoménem spojeny různé negativní dopady.",17
18,Romští asistenti,Kraj by měl zvyšovat počet romských asistentů ve školách na svém území. ,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",18
19,Dotace pro NGO - romská integrace,Kraj by měl dotovat neziskové organizace působící v oblasti integrace romské menšiny.,,19
