vote_event_id,voter_id,option,explanation
1,4,yes,"Rozhodně o tématu diskutovat, velké billboardy bychom omezili, u reklam bychom rádi hodnotili konkrétní projekty, neradi bychom ale bránili podnikatelům v sebeprezentaci,."
10,4,no,"Částka je to vysoká, ale domníváme se, že by bylo dobré ji trochu jinak strukturovat."
11,4,yes,"Bezpochyby je to trend, který podporujeme."
12,4,yes,"Město by mělo věnovat pozornost stavu komunikací, za které je zodpovědné."
13,4,no,"Finanční podpora se nám zdá dostatečná. Město by především mělo využívat tvůrčí potenciál učitelů. Zdaleka ne na vše jsou třeba peníze, některé věci potřebují jen dobrý nápad a podporu z města."
14,4,abstain,"Každou akci, která do Trutnova přivádí návštěvníky z jiných regionů by mělo město podporovat, pokud to není pro obyvatele města příliš diskomfortní."
15,4,no,Takový zákaz by musel vycházet z přání  většiny obyvatel města
16,4,no,
17,4,no,"Nezdá se nám to vhodné. Zadlužovat by se mělo město stejně jako jednotlivec či rodina v případě investic u nichž lze očekávat návratnost, nebo tam kde nesnese situace odklad."
18,4,no,"Raději  bychom investovali do existující rozlohy města, zejm zlepšováním infrastruktury"
19,4,no,Rozhodně ne za peníze města
2,4,no,"Domníváme se, že by parkování zdarma být nemělo, ale obyvatelé města by měli mít možnost nějakých rezidenčních karet za určitou částku, o které lze diskutovat."
20,4,no,
21,4,yes,"Bezpochyby, ty ve městě hodně chybějí"
22,4,yes,
23,4,yes,není třeba se s ničím skrývat
24,4,yes,po velice podrobné diskusi s odborníky
25,4,yes,"Určitě by měla být možnost, aby se občané vyjádřili k tomu, zda hazard ve městě chtějí nebo ne. Vše se penězi zaplatit nedá"
26,4,no,"Měla by se především podporovat sportovní aktivita obyčejných občanů. Sportovci ke svému vyžití mají dostatek možností. Naproti tomu občané nemají takřka žádné. Je třeba podporovat chůzi a vybudovat cvičební a relaxační zóny, to je hlavní přínos sportu pro člověka."
27,4,yes,"v době , kdy bude méně dětí se dá prostor využít opět pro aktivity dětí."
28,4,no,
29,4,yes,Obyvatelstvo stárne a s tím se vynořují nová témata
