vote_event_id,voter_id,option,explanation
1,4,no,"Projekt letiště, při uvědomění si blízkosti lineckého letiště, je velmi diskutabilní. Nešel bych do něj. Dnes je ale město poloviční akcionář a musí vyvíjet tlak na snížení nákladů, neboť ten, kdo jen zpovzdálí se mihne kolem letiště, tak vidí plýtvání, např. v nákupu aut či mzdách. Své vlastnictví  pak využije město k ostražitému blokování aktivit směřujících k prodeji do Ruska."
10,4,no,Stačí si sednout do některé z kaváren s WiFi a připojíte se bez problému.
11,4,no,"Když se dělala rekonstrukce České, chtěl jsem nechat, jako připomínku koněspřežky vložit koleje do dlažby. Asi jsem přišel pozdě, takže se to nestihlo. Bylo by vhodné při nějaké další rekonstrukci takovýto symbolický krok učinit."
12,4,yes,Město je ze zákona povinno zajistit úklid sněhu. Pokaždé za to zaplatí. Je jedno komu. Jen individuelní řešení bude zřejmě komplikované.
13,4,yes,Panu Trpákovi patří nesmírný dík a město by mu mělo více pomoci s ochranou proti vandalům.
14,4,no,"Poplatek vrátíme na výši před dvěma lety, tedy ze 680 na 500 Kč. Budeme dál hledat řešení včetně případného zrušení."
15,4,no,"Kolejová doprava je nesmírně investičně nákladná. Jestliže v tuto chvíli je cena CNG stačeného zemního plynu nejvýhodnější, je třeba zvolna obměňovat vozový park tímto směrem a dosažené úspory promítnout do jízdného."
16,4,no,Druhou věcí je parkování. Po posouzení a diksusi s památkáři je možné uvažovat o branách na vjezdu a výjezdu z centra s bezplatnou hodinou pobytu. Obyvatelé centra by samozřejmě měli karty pro volný vjezd a výjezd.
17,4,no,"Lidé sem jezdí za prací, studiem či zábavou. Za to budou trestáni?"
18,4,yes,"Byl jsem odpůrce kamer. Nejen po osobních zkušenostech jsem pro doplnění systému včetně zvukových záznamů. Díky nim bude vyřešena řada problémů, které zejména na Máji znepříjemňují každodenní život. Samozřejmě, že systém musí být odolný proti zneužití."
19,4,no,"Je zde Dopravní podnik a ten zajišťuje dopravu všech, nejen škol."
2,4,yes,"Znaje osudy lidí hrajících jsem pro. Ekonomická otázka je podružná. Problém je, že nesmí město zůstat osamoceno, neboť hráči se přesunou do okolních obcí. Navíc sázení přes internet město neodstraní."
20,4,yes,
21,4,yes,"Také by mělo, v rámci obecních zakázek trvat na zaměstnávání nízkokvalifikovaných pracovníků. O dětech platí, že kdo si hraje, nezlobí. U dospělých pak, že kdo pracuje, nezlobí."
22,4,no,Zapojení do struktur je dostatečné.
23,4,no,V novém plánovacím období je jedna z priorit oprava a budování nových silnic 2.a 3. třídy. to je třeba využít.
3,4,no,"Město nemůže financovat stavbu za 4 miliardy. Jako pravidelný návštěvník závěrečných koncertů Slavností Emy Destinové navíc vím, že tak velká kapacita není na nejvíce navštívený koncert vážné hudby ve městě nadbytečná. Tajemný investor se neukázal, takže nezbývá než zamáčknout slzu, neboť tato jistě velmi zajímavá stavba zde zřejmě nebude."
4,4,yes,"Ano, stín stromů je nejpříjemnější pohlazení. V žádném případě bych kvůli tomu nedělal extra akci, ale při nějaké vhodné příležitosti, např. oprava kašny či dláždění bych tak učinil."
