id,motion:name,motion:text,motion:description,order
1,Letiště Líně,Průmyslová zóna a letiště Líně by se měly i nadále zvětšovat.,Plocha letiště v Líních by měla být do budoucna využita jako průmyslová zóna. Počítá se i s rozvojem zdejšího mezinárodního letiště.,1
2,Návaznost spojů na Prahu,Kraj by měl podmínit dotace na veřejnou dopravu zajištěním návaznosti spojů na Prahu.,"Spoje dotované krajem (např. z Plzně směrem na sever) často nemají návaznost na spoje na Prahu (a opačně). Kraj by mohl podmínit dotaci zajištěním návaznosti, ale tím by na druhou stranu omezoval prostor dopravním firmám.",2
3,Západočeská univerzita,Kraj by měl (finančně) podporovat Západočeskou univerzitu.,,3
4,Snížení ochrany v NP Šumava,"Míra ochrany NP Šumava by měla snížena tak, aby umožňovala kácení ve všech jeho oblastech napadených kůrovcem. ","Národní park je v současnosti zřízen vládní vyhláškou, do parlamentu již ale doputoval návrh zákona o NP Šumava. Lze ovšem očekávat, že diskuse o budoucnosti parku budou pokračovat i po krajských volbách, přičemž případná nová stanoviska krajských samospráv budou pro budoucnost parku zásadní.",4
5,Půjčka na Západočeskou galerii,Plzeňský kraj by si měl případně půjčit na stavbu nové budovy Západočeské galerie.,V Plzni by v následujících letech mohla vyrůst nová budova Západočeské galerie. Rozpočet kraje ovšem neumožňuje do stavby investovat bez získání dotace nebo zadlužení.,5
6,Spalovna Chotíkov,Spalovna komunálního odpadu v Chotíkově by měla vzniknout.,,6
7,Záchrana Pilsen Steel,Kraj by měl zabránit úpadku Pilsen Steel i za cenu vynaložení finančních prostředků z veřejného rozpočtu.,"Hutě a kovárny Pilsen Steel, významný zdroj pracovních míst v regionu, se pohybují na hranici úpadku. V řešení situace se v současnosti angažuje i Plzeňský kraj.",7
8,Osmiletá gymnázia (snížení),Kapacita osmiletých gymnázií v kraji by se měla snížit.,"Osmiletá gymnázia umožňují nadaným dětem lépe využít jejich potenciál, na druhé straně ale odčerpávají tyto děti ostatním školám, které se tak propadají pod průměr.",8
9,Slučování středních škol,Střední školy by se měly nadále slučovat do větších celků.,Z ekonomických důvodů jsou v posledních letech často spojovány střední školy. I přes potenciál úspor je tento proces ovšem často kritizován jako nekoncepční.,9
10,Srovnávací testy v 9. třídě,Přijímací zkoušky na střední školy by měly být nahrazeny plošnými srovnávacími testy žáků 9. tříd. ,"V posledních letech probíhají reformy, které by měly zaručit srovnatelnost jednotlivých škol v rámci systému (např. státní maturity či srovnávání žáků 5. a 9. tříd). V této souvislosti se nabízí alternativa k současným přijímacím zkouškám na střední školy.",10
11,O počtech žáků SŠ rozhoduje ředitel,"Kraj by měl ředitelům středních škol ponechat pravomoc rozhodnout, kolik žáků přijmou do vyučovaného oboru.",,11
12,Kritéria financování SŠ,"Střední školy by měly být financovány podle jiných kritérií, než je počet žáků.","Kraje disponují částí prostředků pro financování středních škol, tyto prostředky rozdělují dle vlastních pravidel. Počet žáků ve škole je nejlépe uchopitelným kritériem pro rozdělování peněz. Vedle něj ale existují i další faktory, např. uplatnitelnost absolventů na trhu práce, úspěšnost při přijímacích zkouškách na vysoké školy apod.",12
13,Autobusy namísto vlaků,Kraj by měl zredukovat síť regionálních železnic a zrušené spoje nahradit autobusy. ,"Je běžnou praxí, že kraj doplácí dopravcům za provoz ztrátových dopravních spojů. V přepočtu na kilometry ovšem vychází řádově dráž provoz regionálních železnic ve srovnání s autobusy.",13
14,Výběr lékaře v krajských nemocnicích,Pacienti v krajských nemocnicích by měli mít možnost připlatit si za výběr lékaře.,"Plzeňský kraj zřizuje formou několika akciových společností síť krajských nemocnic. Na vůli krajských politiků tak do značné míry závisí, zda krajské nemocnice využijí nově uzákoněnou možnost zpoplatnit výběr lékaře samotným pacientem.",14
15,Rodinné pasy,Plzeňský kraj by se měl připojit k projektu Rodinné pasy. ,"Sedm krajů v ČR se účastní projektu Rodinné pasy. Projekt je financován částečně z fondů EU, částečně samotnými kraji. Deklarovaným cílem je podpora rodin s dětmi formou poskytování slev.",15
16,Nespolupráce s KSČM,"Vadila by mi spolupráce ""mojí"" strany s KSČM v Radě kraje (""krajské vládě"")",,16
19,Romští asistenti,Kraj by měl zvýšit počet romských asistentů na školách na svém území.,"Soužití majority s romskou menšinou se stává třaskavým tématem. Část veřejnosti zaujímá stále nekompromisnější postoj. Proti tomu je argument, že investicemi do sociálně vyloučených lokalit se zmenšují problémy v budoucnu.",19
