vote_event_id,voter_id,option,explanation
1,4,yes,Dá se dohodnout architektonický dohled a nemusí být přímo určená funkce architekta.
10,4,abstain,Lepším řešením by bylo zrušit možnost výkupu železa pro fyzické osoby.
11,4,yes,"Snažili jsem se ho už podpořit při Hospodářské komoře projektem, který končí v půlce příštího roku. Do budoucna je určitě dobré ho udržet."
12,4,yes,
13,4,yes,
14,4,yes,
15,4,yes,
16,4,no,"Zatím si něco podobného město nemůže dovolit, např. i díky dohodám o financování, které se řeší s Ústeckým krajem."
17,4,abstain,"Myslíme si, že u příspěvkové organizace by bylo snazší financování z veřejných zdrojů a ekologizace vozového parku. Významně by to snížilo provozní náklady MAD a zlepšilo kvalitu ovzduší ve městě."
18,4,yes,
19,4,no,
2,4,no,"Osobu Václava Havla velice ctíme, ale nemyslíme si, že má smysl podle něj jmenovat knihovnu. U části kolegů spíše převažuje názor jí pojmenovat podle známého děčínského spisovatele Vladimíra Vokolka."
20,4,no,Bohužel prozatím si jeho zrušení nemůžeme dovolit. Náklady na odpady totiž rostou a město je pouze z daňových příjmů nemůže platit.
21,4,yes,
22,4,yes,"Proč ne, pokud to nebude stát velké náklady."
23,4,no,Je to obtížně řešitelné.
24,4,no,
25,4,yes,
26,4,yes,
27,4,yes,
28,4,no,"Možnost sledovat pohyby na účtu je diskutabilní, hospodaření magistrátu je veřejné - zdroje příjmů i výdaje. Zveřejnění bankovních operací s údaji o jednotlivých plátcích nic podstatného nezmění."
29,4,yes,
3,4,no,
30,4,yes,Do budoucna určitě. Bude to ale znamenat komplikované organizační změny ve fungování magistrátu.
31,4,abstain,"Pokud by se v Děčíně rozvinula struktura ""osadních výborů"" v nějaké míře by to určitě šlo."
32,4,yes,To je možné už dnes.
33,4,abstain,"Líbí se nám více model Hradce Králové, kde na rozhodování magistrátu se spolupodílí osadní výbory složené z aktivních zástupců místní částí města. Je těžké model decentralizované správy zavádět pro části města, kde se lidé neumí zorganizovat. Pokud by dělení na části  mělo znamenat, že by v komunálních volbách kandidovalo skoro sto lidí za magistrát a různé městské části, jako v Ústí nad Labem, jsme rozhodně proti."
34,4,yes,"Částečně se už tak děje, systematicky strháváme reklamní poutače na zábradlích."
4,4,yes,Podařilo se nám už pravidla v mnoha ohledech sjednotit.
5,4,abstain,"I sporty reprezentující město jsou důležité, nicméně podpora volnočasových aktivit dětí je možná ještě důležitější."
6,4,yes,
7,4,yes,
8,4,yes,
9,4,yes,Systém prostupného bydlení je jednou z priorit strategického plánu. Pro slušné lidi se snahou pracovat je dobré je zavést.
1,3,yes,Po architektonické stránce město Děčín a jeho architektonický design nikam nesměřuje.
10,3,yes,Je to velmi jednoduché...opět pouze dobře formulovanou vyhláškou a důslednou kontrolou budou jasně stanovená pravidla.
11,3,abstain,
12,3,no,"Nesouhlasíme s úplným zákazem hracích automatů, ovšem souhlasíme opět s dokonalou platnou vyhláškou, důslednou kontrolou. Není možné, aby se jedněm zakázalo a druhým, kamarádům radnice , dovolilo."
13,3,yes,"Potřebujeme svést dopravu na dálnici. Považujeme za správné spolupracovat s občanskou iniciativou Děčínské Fórum. Upřednostňovaná Zelená varianta je nejšetrnější k okolí i k lidem. Stěhovat občany ze svých domovů jen pro špatně vybranou variantu, pro něčí zájmy, lobby, ohrozit dosud klidnou dopravu v Děčíně variantou skr Pastýřskou stěnu, je nehorázné."
14,3,yes,"Aktivitě se meze nesmí klást, ruku v ruce s aktivitou státu. Občan musí být na prvním místě."
15,3,abstain,..ale zase proč ne..další zajímavost města. Jen se nesmí opakovat takový nesmysl jako byl výtah na Pastýřskou stěnu. Lépe uchopit realizaci projektu a výsledkem bude další turistická zajímavost.
16,3,yes,"Pro seniory od 70 let rozhodně, pro děti do 8 let také. Až bude město uzdravené od dluhů pak proč ně dopravu zdarma pro všechny, ale to je hudba budoucnosti. Samozřejmě zvýhodnit dopravu zodpovědným občanům je velkou odměnou za slušnost."
17,3,no,"Po prostudování hospodaření DPMD a.s. a jejich podnikatelských aktivit nakonec zjistíme, že dotace DPMD a.s. nemusí být v současném finančním rozsahu."
18,3,yes,"Už rozhodně nikoliv akce typu současných květináčů, to rozhodně ne !!! Ale postupně vrátit městu zeleň a stromy do hlavních turistických městských tras.  Pohled do historie je lákavý."
19,3,yes,"Město , úřad je tu pro občany nikoliv občané pro město."
