id,motion:name,motion:text,order,motion:name:cs,motion:text:cs
1,Mindestlohn,Es soll ein gesetzlicher flächendeckender Mindestlohn eingeführt werden.,1,Minimální mzdy by měly být celoplošně určeny zákonem.,Minimální mzdy by měly být celoplošně určeny zákonem.
2,Betreuungsgeld,"Eltern, deren Kinder nicht in die Kita gehen, sollen ein Betreuungsgeld erhalten.",2,"Rodiče, jejichž děti nechodí do školky, by měli obdržet příspěvek na péči.","Rodiče, jejichž děti nechodí do školky, by měli obdržet příspěvek na péči."
3,Tempolimit,Generelles Tempolimit auf Autobahnen!,3,Všeobecné omezení rychlosti na dálnicích.,Všeobecné omezení rychlosti na dálnicích.
4,Euro,Deutschland soll den Euro als Währung behalten.,4,Německo by mělo zachovat Euro jako svoji měnu.,Německo by mělo zachovat Euro jako svoji měnu.
5,Strompreis,Der Strompreis soll vom Staat stärker reguliert werden.,5,Ceny elektřiny by měly být více regulovány státem.,Ceny elektřiny by měly být více regulovány státem.
6,Videoüberwachung,Die Videoüberwachung im öffentlichen Raum soll ausgebaut werden.,6,Kamerový systém ve veřejném prostoru by měl být rozšířen.,Kamerový systém ve veřejném prostoru by měl být rozšířen.
7,Grundeinkommen,In Deutschland soll ein bedingungsloses Grundeinkommen eingeführt werden.,7,V Něměcku by měl být zaveden bezpodmínečný základní příjem.,V Něměcku by měl být zaveden bezpodmínečný základní příjem.
8,Ökologische Landwirtschaft,Nur ökologische Landwirtschaft soll finanzielle Förderung erhalten.,8,Finanční podporu by mělo dostávat pouze ekologické zemědělství.,Finanční podporu by mělo dostávat pouze ekologické zemědělství.
9,Getrennter Schulunterricht,Alle Kinder sollen ungeachtet ihres kulturellen Hintergrundes gemeinsam unterrichtet werden.,9,"Vzdělání všech dětí by mělo probíhat společně, bez ohledu na jejich kulturní pozadí.","Vzdělání všech dětí by mělo probíhat společně, bez ohledu na jejich kulturní pozadí."
10,Spitzensteuersatz,Der Spitzensteuersatz soll erhöht werden.,10,Horní sazba daně by měla být zvýšena.,Horní sazba daně by měla být zvýšena.
11,NATO-Austritt,Deutschland soll aus der NATO austreten.,11,Německo by mělo vystoupit z NATO.,Německo by mělo vystoupit z NATO.
12,Kohlekraft,Kein Neubau von Kohlekraftwerken!,12,Neměly by se stavět žádné nové uhelné elektrárny.,Neměly by se stavět žádné nové uhelné elektrárny.
13,Pille danach,"Die ""Pille danach"" soll rezeptpflichtig bleiben.",13,Pilulky poté by měly zůstat na předpis.,Pilulky poté by měly zůstat na předpis.
14,Verstaatlichung von Banken,Alle Banken in Deutschland sollen verstaatlicht werden.,14,Všechny banky v Německu by měly být zestátněny.,Všechny banky v Německu by měly být zestátněny.
15,Flüchtlingspolitik,Deutschland soll mehr Flüchtlinge aufnehmen.,15,Německo by mělo přijímat více uprchlíků.,Německo by mělo přijímat více uprchlíků.
16,Lohnersatz bei Pflegezeit,"Arbeitnehmerinnen und Arbeitnehmer sollen für die Zeit, in der sie Angehörige pflegen, staatliche Lohnersatzleistungen erhalten.",16,"Zaměstnanci by měly dostávat státní příspěvky za dobu, kdy se starají o rodinné příslušníky.","Zaměstnanci by měly dostávat státní příspěvky za dobu, kdy se starají o rodinné příslušníky."
17,Parteienverbot,Verfassungswidrige Parteien sollen weiterhin verboten werden dürfen.,17,Protiústavní strany by měly být nadále zakázány.,Protiústavní strany by měly být nadále zakázány.
