id,motion:name,motion:text,motion:description,order
1,Počet volebných obvodov,Počet volebných obvodov pre voľby do NR SR by sa mal zvýšiť.,"Na Slovensku je pre voľby do NR SR len jeden volebný obvod so 150 mandátmi. Napríklad v ČR sa do Snemovne volí po krajoch (5-25 mandátových) a do Senátu v jednomandátových obvodoch. Menšie obvody všeobecne uprednostňujú veľké strany, ale tiež zvyšujú väzbu medzi voličom a poslancom.",1
2,Zjednodušenie vypísania referenda,Počet podpisov pre vypísanie celoštátneho referenda na základe zhromaždenia podpisov od ľudí by sa mal znížiť.,"Na Slovensku je možné vyhlásiť celoštátne referendum po zhromaždení 350 000 podpisov, v ""referendovom"" Švajčiarsku je treba 50 000 podpisov. Referendum je možné žiadať aj v spolkových krajinách v Nemecku, v celom Nemecku prakticky nie. V ČR to nie je vôbec na základe žiadosti ľudí možné.",2
3,Volebné právo občanov EÚ,Právo voliť do NR SR by mali mať aj občania EÚ s trvalým pobytom na Slovensku. ,Občania EÚ s trvalým pobytom na Slovensku tú môžu voliť pri komunálnych a európskych voľbách. Nemajú však právo voliť do NR SR.,3
4,Štátne inštitúcie po celom Slovensku,(Nové) štátne inštitúcie by mali byť rozmiestnené rovnomerne po celom území Slovenska. ,"Na Slovensku je veľké množstvo štátnych a štátom platených inštitúcií v Bratislave. Oproti tomu v Nemecku existuje pravidlo, že takéto orgány sa musia rozmiestniť rovnomerne po celej krajine.",4
5,Rozšírenie garancií v druhom pilíri,"Garancie vkladov proti strate v ""druhom pilieri"" dôchodkového systému by mali byť posilnené.","Bolo schválené, že vkladová garancia oproti strate v ""druhom pilieri"" dôchodkového systému by mala zostať už iba v jednom, a to v dlhopisovom fonde. Zástancovia tvrdia, že to umožní vyšší výnos. Naopak odporcovia upozorňujú na vyššie riziko straty, nikto nie je schopný odhadnúť pohyb trhov na mnoho rokov dopredu.",5
6,Mýto za km,Mýto na diaľniciach pre osobné automobily by sa malo platiť za prejazdenú vzdialenosť.,"Mýto na diaľniciach sa vyberá dvoma základnými spôsobmi - so zreteľom na prejdenú vzdialenosť (napr. Francúzsko alebo kamióny na Slovensku) alebo paušálom (osobné autá na Slovensku). Mýto za km sa berie ako spravodlivejšie (""kto viac jazdí, viac platí""), ale jeho výber je drahší.",6
7,Prídavky len pre sociálne slabších,Prídavky na deti by mali dostávať len deti v rodinách s nižšími príjmami. ,"Na Slovensku platí, že všetky deti majú nárok na prídavky asi 20 € mesačne. Rovnako v Nemecku ich dostávajú všetky deti. Naopak v ČR platí, že príspevky na deti dostávajú len rodiny s príjmom nižším ako 2,4 násobok životného minima.",7
8,Znevýhodnenie firem z daňových rájov,Firmy z daňových rajov by mali byť znevýhodnené pri zadávaní verejných zákaziek.,"Niektoré firmy majú svoje sídlo v tzv. daňových rajoch (napr. Panama, Bermudy, Cyprus), aby mohli ľahšie obchádzať daňové povinnosti a aby skryli svoje ložiskové vlastníctvo. To umožňuje praním špinavých peniazi.",8
9,Zákaz zamestnávania na živnostenský list,Nemalo by byť možné nútiť zamestnancov pracovať na živnostenský list,"Zamestnávanie na živnostenský list je spôsob zamestnávania pracovníkov, ktorí sú formálne samostatnými podnikateľmi. Tento spôsob je pre firmu daňovo výhodný, umožňuje rýchle naberie a prepúšťanie zamestnanca, ale aj tak sa na pracovníka nevzťahuje zákonník práce, je tak menej chránený. Napr. v ČR je tento spôsob zamestnávania nelegálny.",9
10,Privatizácia či prenájom letiska v BA,Letisko v Bratislave by sa malo predať alebo dlhodobo prenajať,"""",10
