id,date,motion:title,motion:legislative_session,motion:legislative_session_type,motion:session,motion:session_type,count:yes,count:no,count:abstain,count:obstraction,count:blank
50-000001,1995-02-16T16:49:52,PROJETO DE RESOLUCAO N. 1/95 - REQUERIMENTO DE URGENCIA,CD01,ordinary,0,ordinary,406,9,6,0,0
50-000002,1995-03-07T16:54:55,PL 2331/91 - PROJETO,CD01,ordinary,0,ordinary,329,94,14,0,0
50-000003,1995-03-15T17:06:09,PL N. 4109/93 - REQUERIMENTO DE URGENCIA.,CD01,ordinary,1,ordinary,452,13,4,0,0
50-000004,1995-03-22T16:57:17,"PL N.154, DE 1995 - REQUERIMENTO DE URGENCIA",CD01,ordinary,2,ordinary,401,13,11,0,0
50-000005,1995-03-29T16:48:45,PL N. 194/95 - REQUERIMENTO DE URGENCIA.,CD01,ordinary,2,ordinary,368,58,7,0,0
50-000007,1995-03-29T17:52:11,PL 3804/93 APRECIACAO PARECER CCJR,CD01,ordinary,2,ordinary,155,235,2,0,0
50-000008,1995-04-04T16:56:19,PL. N.233/95 - REQUERIMENTO DE URGENCIA.,CD01,ordinary,3,ordinary,378,35,4,0,0
50-000009,1995-04-04T17:31:04,PL. N. 305/91 = RECURSO,CD01,ordinary,3,ordinary,292,87,7,0,0
50-000010,1995-04-18T17:03:26,PL N. 199 DE 1995 - REQUERIMENTO DE URGENCIA.,CD01,ordinary,3,ordinary,341,107,8,0,0
50-000011,1995-04-19T20:24:14,"PL 199, DE 1995 - DESMEMBRAMENTO - ACEITACAO DO",CD01,ordinary,4,ordinary,135,339,4,0,0
50-000012,1995-04-26T16:56:39,PL. N. 40/95 - PROJETO.,CD01,ordinary,4,ordinary,324,95,8,0,0
50-000013,1995-04-27T16:51:18,"PDL N. 443, DE 1994 - REQ. RETIRADA PAUTA",CD01,ordinary,4,ordinary,275,95,11,0,0
50-000014,1995-05-02T16:43:53,PEC N. 4/95 - REQUERIMENTO RETIRADA DE PAUTA.,CD01,ordinary,5,ordinary,113,296,5,0,0
50-000015,1995-05-03T17:37:16,PEC 04 - SUBSTITUTIVO,CD01,ordinary,5,ordinary,467,8,5,0,0
50-000016,1995-05-04T16:37:57,PL N. 3981/93 - EMENDA SENADO.,CD01,ordinary,5,ordinary,330,48,3,0,0
50-000017,1995-05-09T16:52:34,PEC N. 5/95 - REQ. RETIRADA DE PAUTA.,CD01,ordinary,5,ordinary,115,331,1,0,0
50-000018,1995-05-10T17:33:34,PEC 5/95 - SUBSTITUTIVO,CD01,ordinary,5,ordinary,369,103,1,0,0
50-000019,1995-05-10T17:52:54,PEC 5/95 - EMENDA 2,CD01,ordinary,5,ordinary,105,316,4,0,0
50-000020,1995-05-11T12:59:18,PEC 4/95 - REQ. ENCERRAMENTO DISCUSSAO,CD01,ordinary,5,extraordinary,314,126,2,0,0
50-000021,1995-05-16T18:07:07,PEC 4/95 - PROPOSTA,CD01,ordinary,6,ordinary,373,53,7,0,0
50-000022,1995-05-16T18:28:03,PEC 4/95-DVS ART. 2.,CD01,ordinary,6,ordinary,58,334,13,0,0
50-000023,1995-05-16T18:53:31,PEC 7/95 - REQUERIMENTO ADIAMENTO DISCUSSAO,CD01,ordinary,6,ordinary,45,274,6,0,0
50-000024,1995-05-17T17:14:43,PEC N.7/95 - REQUERIMENTO DE ENCERRAMENTO DISCUSSAO.,CD01,ordinary,6,ordinary,338,111,7,0,0
50-000025,1995-05-17T18:20:38,PEC N. 7/95 - SUBSTITUTIVO.,CD01,ordinary,6,ordinary,359,110,6,0,0
50-000026,1995-05-17T18:52:16,"PEC N. 7/95 - DVS EXPRESSAO ""LEI COMPLEMENTAR"".",CD01,ordinary,6,ordinary,162,271,5,0,0
50-000027,1995-05-17T19:05:59,PEC N.7/95 - EXPRESSAO MARITIMO.,CD01,ordinary,6,ordinary,75,291,3,0,0
50-000028,1995-05-17T19:19:40,PEC N.7/95 DVS PARAGRAFO UNICO EMENDA 1,CD01,ordinary,6,ordinary,63,308,5,0,0
50-000029,1995-05-17T19:29:25,"PEC N.7/95 - DVS PARAGRAFOS 1, 2, 3 E 4 DO ARTIGO",CD01,ordinary,6,ordinary,64,303,3,0,0
50-000030,1995-05-17T19:42:46,"DVS - PARAGRAFO ,3. ,4. E 5. EMENDA 3",CD01,ordinary,6,ordinary,55,316,2,0,0
50-000031,1995-05-17T19:54:13,PEC N.7/95 - PARAGRAFO 3. DO ART. 178 - EMENDA 3,CD01,ordinary,6,ordinary,56,317,7,0,0
50-000032,1995-05-18T16:49:31,PEC N.5/95 - 2 TURNO RETIRADA DE PAUTA.,CD01,ordinary,6,ordinary,92,268,7,0,0
50-000033,1995-05-23T17:36:58,PEC N. 5/95 - 2. TURNO,CD01,ordinary,6,ordinary,349,105,10,0,0
50-000034,1995-05-24T11:51:51,PEC N. 3/95 - REQUERIMENTO RETIRADA DE PAUTA,CD01,ordinary,6,extraordinary,102,271,5,0,0
50-000035,1995-05-24T16:53:45,PEC N. 3/95 - REQUERIMENTO RETIRADA DE PAUTA.,CD01,ordinary,7,ordinary,147,287,6,0,0
50-000037,1995-05-24T19:17:38,PEC 3/95 - SUBSTITUTIVO,CD01,ordinary,7,ordinary,348,140,5,0,0
50-000038,1995-05-24T19:51:24,PEC N. 3/95 - DVS EXPRESSAO AUTORIZACAO / PERMISSAO.,CD01,ordinary,7,ordinary,338,131,5,0,0
50-000039,1995-05-24T20:26:12,"PEC N. 3/95 - DVS EXPRESSAO "" LEI COMPLEMENTAR"".",CD01,ordinary,7,ordinary,219,240,5,0,0
50-000040,1995-05-24T21:07:30,"PEC N. 3/95 - DVS EXPRESSAO ""RESSALVADO O DISPOSTO....""",CD01,ordinary,7,ordinary,305,122,3,0,0
50-000041,1995-05-24T21:18:47,"PEC N. 3/95 - DVS EXPRESSAO "" ASEGURADA A PRESTACAO...""",CD01,ordinary,7,ordinary,98,262,1,0,0
50-000043,1995-05-30T17:13:56,pec n. 7\95 - REQUERIMENTO RETIRADA DE PAUTA.,CD01,ordinary,7,ordinary,106,332,5,0,0
50-000045,1995-05-31T17:32:50,PEC N. 7/95 - 2. TURNO.,CD01,ordinary,7,ordinary,360,113,14,0,0
50-000046,1995-06-06T18:28:36,PEC 3/95 - PROPOSTA,CD01,ordinary,7,ordinary,357,136,5,0,0
50-000047,1995-06-06T18:59:41,"PEC 3/95 - DVS EXPRESSAO "" OU MEDIANTE AUTORIZACAO...""",CD01,ordinary,7,ordinary,354,125,7,0,0
50-000048,1995-06-07T05:28:45,PEC N. 6/95 - REQ. ADIAMENTO DE DISCUSSAO.,CD01,ordinary,8,ordinary,133,330,5,0,0
50-000049,1995-06-07T19:47:29,PEC 6/95 - SUBSTITUTIVO.,CD01,ordinary,8,ordinary,364,141,3,0,0
50-000050,1995-06-07T20:17:36,"PEC N. 6/95 - DVS EXPRESSAO ""OU PRIVADAS"".",CD01,ordinary,8,ordinary,353,120,7,0,0
