vote_event_id,voter_id,option,explanation
1,10,yes,Cenovým zvýhodněním dopravy ve městě sledujeme snížení dopravního zatížení ve městě automobilovou osobní přpepravou.
10,10,yes,"Ano i ne. Jedná se o rozsáhlou část centra města, které mu dá novou tvář. Je třeba zajistit dlouhodobé funkčnosti (zejména dopravní a relaxační s ochranou pobřežní zeleně). Obzvláště, bude-li financování projektu z veřejných dotačních prostředků."
11,10,yes,Jasně nastavit podpůrné a motivační projekty.
12,10,abstain,Je třeba nalézt cestu pro jeho funkční využití primárně v oblasti poskytování lázeňské péče. Smyluplné jsme v minulosti ai nadále vidíme hledání řešení v koordinaci s privatizací LS Thermal.
13,10,yes,"Ano a je to pouze díl v korupčním kolýáči posledních let, kdy byly za naprosto nepřijatelných a také nezákonných procesů vyvedeny majetky města ve zlomkových cenách vybranému okruhu kmotrů."
14,10,abstain,Ano i ne. Má to svá aktiva i negativa. Oddělený primátor od populistických vítězných volebních uskupení by byl pouze bezmocnopu figurou. Propojení funkce primátora s vítěznou stranou se jeví efektivnější a funkčnější.
15,10,yes,... toto jsme v době vlastního působení ve funkci náměstka realizovali v roce 2010/11.
16,10,yes,"Primárně je třeba narovnat neprůhledný systém zneužívání dotací vydávaných za ""podporu mládežnickému hokeji"" a dostat ho do standardního a průhledného systému rozdělování dotací do sportu obecně - tedy nastavit transparentní, srovnatelný a předvídatelný proces."
17,10,no,"Nemyslím, že tento trend má nějaký valný efekt. Navíc tento okruh zásahu do soukromí osob je obecně velmi citlivým problémem, který ba měl snést širší debatu a nastavit parametry pro takovýto monitorovací systém."
18,10,yes,"Ano s možnou debatou na toto téma. Nic zadarmo nemůže efektivně fungovat. Nicméně vyhodnoscení systému třídění odpadu je lukrativním obchodem, který by měl výrazně přispět na stanovení přijatelné výše konečné ceny pro občany."
19,10,yes,Bez jakékoliv diskuse ano.
2,10,yes,Nastavený trend z roku 2010 v Karlových Varech přinesl uspokojivý stav. Do oprav byl zaveden systém a zejména otevřené transparentní zadávání zakázek. To umožnilo o 40 % zvýšit výkonnost.
20,10,abstain,"Nemáme signály, že by tento problém nějak vybočil z únosných mezí."
21,10,no,"S ohledem na vnímanopu relaitu, nekonečné stížnosti a poukazy občanů na neutěšený stav v tomto ohledu, nelze vyhodnotit dotaz pozitivně. Stačí krátký výlet do sousedního Bavorska, procházka jakýmkoliv městem a návazné korzo městem K.vary, v kterékoliv jeho části. Srovnání neuspěje, ale MP sama není příčinou ani důslkedkem takového stavu."
3,10,no,"Investice nastavit vyváženě a systémově, nikoliv na úkor okrajových částí."
4,10,yes,Opět se je třeba zaměřit na efektivitu již uvolněných finančních prostředků do konceptu údržby a rozvoje zeleně - precizovat zadání.
5,10,yes,"Ano, nulová tolerance hazardu je v této fázi programovým piliřem."
6,10,yes,Jednoznačě. Řadu let to je velmi latetntně řešené téma.
7,10,yes,"Město je vyprázdněné v mnoha oblastech, což lidi z města žene jinam. Mladým chybí práce i jiné možnopsti motivace - je to velmi zanedbané a náprava je cestou na dlouho."
8,10,yes,Tento proces je v běhu již řadu let.
9,10,no,"Naopak by měly být dodržované. Cestu ""závor"" nepokládáme za dobrou."
1,12,yes,"V průběhu 2-3 let, zpočátku pouze rozšíříme levnější tarif i pro středoškoláky do 18 let a soustředíme se na razantní zlevnění MHD pro dospělé. Tento krok je možné za současného stavu financovat z rozpočtu."
10,12,no,"Radnice by měla být v této otázce aktivní, ale ne despotická."
11,12,yes,
12,12,yes,
13,12,yes,
14,12,yes,
15,12,yes,
16,12,no,
17,12,yes,
18,12,yes,
19,12,yes,
2,12,yes,
20,12,yes,
21,12,no,
3,12,yes,Chtěli bychom prověřit i možnost přenosu části administrativy blíže k občanům do okrajových částí
4,12,yes,"Myslíme, že současný stav je poměrně dobrý, rozhodně by město mělo být v této oblasti alespoň stejně aktivní."
5,12,abstain,"Zodpovědně říkáme, že k této otázce se můžeme vyjádřit až s kompletními informacemi o přínosech do rozpočtu, umístění heren atd. Rozhodně jsme minimálně pro regulaci a přísné kontroly dodržování pravidel."
