id,motion:name,motion:text,motion:description,order,motion:text_candidates,order_long,order_2
1,Dva cizí jazyky,Hlava státu by měla hovořit plynně alespoň dvěma cizími jazyky.,,6,Plynně hovořím alespoň dvěma cizími jazyky.,8,
2,Armáda v zahraničí,Armáda ČR by se měla účastnit zahraničních vojenských misí.,"Armáda ČR se může účastnit zahraničních vojenských misí, a to zejména na základě členství ČR v NATO. Podle zastánců je podpora spojenců důležitá pro zajištění obrany ČR, podle odpůrců mohou být zahraniční mise nelegitimní.",23,Armáda ČR by se měla účastnit zahraničních vojenských misí.,38,
3,Daňová progrese,Měla by se zvýšit daňová progrese daně z příjmů u lidí (tj. vyšší sazba daně pro vyšší příjmy).,"V ČR existuje „jednotná daň z příjmu 15 %“. Díky slevě na poplatníka ovšem jde ve skutečnosti o daň mírně progresivní. Podle zastánců je tato ""rovná daň"" spravedlivější, odpůrci naopak považují za spravedlivější progresivnější zdanění. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měla by se zvýšit daňová progrese daně z příjmů u lidí (tj. vyšší sazba daně pro vyšší příjmy).,4,5
4,Bankovní rada ČNB - Výběrová řízení,Hlava státu by měla pořádat veřejná výběrová řízení na členy Bankovní rady České národní banky.,"Prezident může jmenovat členy Bankovní rady České národní banky podle svého rozhodnutí. V některých zemích se na členy vedení centrálních bank pohlíží jako na nepolitické odborníky, a proto jsou vybíráni pomocí výběrového řízení.",4,Jako hlava státu budu pořádat veřejná výběrová řízení na členy Bankovní rady České národní banky.,36,24
5,Evropský stabilizační pakt,ČR by se měla připojit k Evropskému stabilizačnímu mechanismu.,"Evropský stabilizační mechanismus je fond finanční asistence pro země platící eurem. Podle zastánců jde o nástroj boje proti přílišnému zadlužení evropských zemí, podle odpůrců je neúměrně nákladný a zvyšuje politický vliv orgánů EU na členské státy.",22,ČR by se měla připojit k Evropskému stabilizačnímu mechanismu.,5,23
6,Školné na VŠ,Mělo by se začít platit školné na veřejných vysokých školách.,"Na veřejných vysokých školách v ČR se neplatí školné. Studenti si ovšem platí ubytování, stravu, pomůcky i některé povinné školní poplatky. Podle zastánců školné umožní rozvoj vysokých škol, podle odpůrců omezí přístup ke vzdělání zejména sociálně slabším studentům. Názor hlavy státu je důležitý, protože může vetovat související zákony. ",,Mělo by se začít platit školné na veřejných vysokých školách.,6,7
7,Bratři Mašínové,Jako hlava státu bych ocenil(a) bratry Mašíny státním vyznamenáním.,"Bratři Mašínové se po roce 1948 zapojili do ozbrojeného boje proti komunistickému režimu. Podle jejich zastánců jde o hrdiny odboje, podle odpůrců jsou jejich násilné činy nemorální.",5,Jako hlava státu bych ocenil(a) bratry Mašíny státním vyznamenáním.,7,4
8,Ne vládě s ministry z KSČM,"Jako hlava státu bych odmítl(a) jmenovat vládu, v níž by byli ministři nominovaní KSČM.",,1,"Odmítl(a) bych jmenovat vládu, v níž by byli ministři nominovaní KSČM.",1,
9,Zrušení zdravotnických poplatků,Regulační zdravotnické poplatky by měly být zrušeny.,"V ČR byly zavedeny regulační poplatky za zdravotní úkony a za pobyt v nemocnicích. Podle zastánců zabraňují plýtvání zdravotní péčí, podle odpůrců vedou ke zhoršení dostupnosti zdravnotní péče zejména pro sociálně slabé pacienty. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Regulační zdravotnické poplatky by měly být zrušeny.,9,29
10,Vystoupení z NATO,ČR by měla vystoupit z NATO.,"ČR je od roku 1999 součástí NATO. Podle zastánců členství jde o záruku bezpečnosti země, odpůrci naopak poukazují účast ČR v problematických vojenských konfliktech. Členem NATO je jsou všechny sousední státy ČR kromě Rakouska.",7,ČR by měla vystoupit z NATO.,10,
11,Ne vládě s podporou KSČM,"Jako hlava státu bych odmítl(a) jmenovat vládu, pokud by měla následně získat důvěru díky poslancům KSČM.",,8,"Odmítl(a) bych jmenovat vládu, která by získala důvěru díky poslancům KSČM.",11,
12,Důchodová reforma,Tzv. druhý pilíř důchodové reformy by měl být zrušen.,"Nedávno byla zavedena důchodová reforma, která počítá se zavedením tzv. druhého pilíře. Podle zastánců umožní lepší zabezpečení životní úrovně ve stáří, podle odpůrců není zajištěna návratnost finančních prostředků. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Tzv. druhý pilíř důchodové reformy by měl být zrušen.,12,8
13,Vystoupení z EU,ČR by měla vystoupit z EU.,"ČR je od roku 2004 členem EU. Zastánci argumentují, že členství dává ČR možnost ovlivňovat budoucnost EU a je ekonomicky výhodné, odpůrci upozorňují na ztrátu suverenity ČR. Členem EU jsou všechny sousední státy ČR, mimo EU naopak stojí např. Švýcarsko či Norsko.",9,ČR by měla vystoupit z EU.,13,
14,Ne členství prezidenta v KSČ,"Vadilo by mi, kdyby byl hlavou státu člověk, který byl před rokem 1989 členem KSČ.",,10,"Vadilo by mi, kdyby byl hlavou státu člověk, který byl před rokem 1989 členem KSČ.",14,10
15,Církevní restituce,Souhlasím se současným zněním zákona o církevních restitucích.,"Nedávno bych schválen zákon o církevních restitucích. Podle zastánců zákon napravuje křivdy na církvích a umožní rozvoj obcí obklopených blokovanými pozemky, podle odpůrců je zákon netransparentní a hrozí zneužití vydaného majetku. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Souhlasím se současným zněním zákona o církevních restitucích.,15,9
16,Zavedení eura,ČR by měla usilovat o zavedení společné evropské měny (euro).,,,ČR by měla usilovat o zavedení společné evropské měny (euro).,16,11
17,Zveřejňování mezinárodních smluv,"Hlava státu by měla zveřejňovat všechny mezinárodní smlouvy, které podepíše.",Prezident v současné době nemusí zveřejňovat některé mezinárodní smlouvy. Podle zastánců zveřejňování mají občané právo znát právní závazky svého státu. Podle odpůrců mohou některé smlouvy obsahovat citlivé údaje.,11,"Jako hlava státu budu zveřejňovat všechny mezinárodní smlouvy, které podepíši.",17,12
18,Zákon o prokázání nabytí majetku,Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.,"Na Slovensku platí zákon o prokazování nabytí majetku. Pokud majitel nebude moci prokázat legální nabytí majetku, může o něj přijít. Podle zastánců je to důležité opatření v boji proti systémové korupci, podle oponentů zákon zavádí situaci, kdy obviněný musí dokazovat svoji nevinu. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měl by existovat zákon o prokázání nabytí majetku s možností zabavení neprokázaného majetku.,18,13
19,Obchodní styky s nedemokratickými zeměmi,"ČR by měla usilovat o udržování obchodních vztahů i se zeměmi, které porušují lidská práva","ČR udržuje ochodní vztahy i se zeměmi, které porušují lidská práva. Podle zastánců zahraniční obchod podporuje hospodářský růst, podle odpůrců je taková spolupráce nemorální.",12,"ČR by měla usilovat o udržobvání obchodních vztahů i se zeměmi, které porušují lidská práva.",19,
20,Oficiální návštěva dalajlámy,Jako hlava státu bych pozval(a) dalajlámu na oficiální státní návštěvu ČR.,"Podle zastánců státní návštěny dalajlámy jde o významnou mezinárodní osobnost, která se zasadila o ochranu lidských práv. Podle odpůrců by jeho státní návštěva poškodila vztahy ČR s Čínou.",13,Jako hlava státu bych pozval(a) dalajlámu na oficiální státní návštěvu ČR.,20,
21,Dostavba Temelína,ČEZ by měl pokračovat v plánu na výstavbu dalších dvou bloků v Temelíně.,"ČEZ chce postavit další dva bloky jaderné elektrárny Temelín. Jejich cena se odhaduje na „stovky miliard“ Kč. Např. Německo má plán útlumu jaderných elektráren (ač se diskutuje), Rakousko od jaderných elektráren odstoupilo, naopak na Slovensku se jaderné elektrárny rozšiřují.",14,ČEZ by měl pokračovat v plánu na výstavbu dalších dvou bloků v Temelíně.,21,
22,Poplatek za prázdná média,Měl by být zrušen poplatek za prázdná média.,"V ČR je nutno z každého prázdného nosiče informací, jako je DVD či počítačový disk, i z každého rozmnožovacího zařízení jako DVD-RW či kopírka zaplatit poplatek. Ten jde organizacím (např. OSA nebo DILIA), které zastupují část autorů.Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měl by být zrušen poplatek za prázdná média.,22,26
23,Sestavení vlády nejsilnější stranou,"Hlava státu by měla po volbách do Poslanecké sněmovny jmenovat předsedou vlády nebo pověřit jednáním o sestavení vlády předsedu strany, která získala nejvíce hlasů.","Prezident jmenuje po volbách do Poslanecké sněmovny předsedou vlády osobu podle svého uvážení, podle některých by ale měl mít přednostní právo předseda politické strany, která získala nejvíce hlasů.",15,"Hlava státu by měla po volbách do Poslanecké sněmovny jmenovat předsedou vlády nebo pověřit jednáním o sestavení vlády předsedu strany, která získala nejvíce hlasů.",23,
24,Ne dostavbě Temelína ruskou firmou,"Považoval(a) bych za problematické, kdyby další dva bloky jaderné elektrárny Temelín mohla dostavět ruská firma.","V současné době je vybírána firma, která by mohla dostavět další dva bloky jaderné elektrárny Temelín. Někteří považují účast ruské firmy za bezpečnostní riziko pro ČR.",16,"Považoval(a) bych za problematické, kdyby další dva bloky jaderné elektrárny Temelín mohla dostavět ruská firma.",24,22
25,Zachování Ústavu pro studium totalitních režimů,Měl by být zachován Ústav pro studium totalitních režimů.,"V ČR byl založen tzv. Ústav pro studium totalitních režimů zabývající se ""obdobím fašistické a komunistické totalitní moci"". Podle zastánců pomůže zabránit zkreslování historie, podle odpůrců není ústav politicky nestranný. Názor hlavy státu je důležitý, protože může vetovat související zákony.",,Měl by být zachován Ústav pro studium totalitních režimů.,25,21
26,Jmenování a demise bez odkladu,"Hlava státu by měla jmenovat a přijmout demisi vlády, předsedy vlády nebo člena vlády bez ohledu na svůj osobní postoj a bez zbytečného odkladu.","Prezident jmenuje, odvolává a přijímá demisi vlády, předsedy vlády a člena vlády. Není jasné, zda to musí učinit bez ohledu na svůj osobní názor, nebo zda může odmítnout. Ústava rovněž nestanovuje žádné časové lhůty.",17,"Hlava státu by měla jmenovat a přijmout demisi vlády, předsedy vlády nebo člena vlády bez ohledu na svůj osobní postoj a bez zbytečného odkladu.",26,
