vote_event_id,voter_id,option,explanation
1,1,yes,
10,1,no,
11,1,no,
12,1,yes,
13,1,no,
14,1,no,
15,1,no,
16,1,no,Ne v tuto chvíli.
17,1,yes,
18,1,yes,
19,1,yes,Obchodní vztahy ano.
2,1,yes,
20,1,no,
21,1,yes,
22,1,abstain,
23,1,no,
24,1,no,
25,1,no,Dle mého stačí ponechat Ústav pro soudobé dějiny.
26,1,yes,
27,1,yes,
28,1,no,
29,1,abstain,
3,1,yes,
30,1,yes,
31,1,yes,
32,1,yes,
33,1,yes,
34,1,yes,
35,1,yes,
36,1,yes,
37,1,no,
38,1,no,
39,1,abstain,
4,1,yes,
40,1,yes,
41,1,no,
42,1,no,
43,1,no,"Pokud ale budou vyčerpány veškeré možnosti adopce heterosexuálními páry, souhlasil bych s adopcí homosexuálními páry."
44,1,yes,
45,1,yes,
46,1,yes,Snížení DPH pouze u základních potravin a léků.
47,1,no,"V případě, že by byla konjuktura, bych podpořil zákon o přebytkovém státním rozpočtu. V případě, že by byla krize, bych podpořil zákon o deficitním státním rozpočtu."
48,1,yes,Pokud nedojde k problémům se vzájemnou komunikací.
49,1,no,
5,1,no,
50,1,no,
51,1,abstain,
52,1,abstain,
53,1,no,
54,1,yes,
55,1,yes,
56,1,yes,
57,1,yes,
58,1,yes,
59,1,yes,
6,1,no,
60,1,yes,"
"
7,1,no,
8,1,no,
9,1,yes,
1,2,no,
10,2,no,
11,2,yes,
12,2,no,"Na definitivní podobě důchodové reformy by měla existovat širší politická i celospolečenská shoda. Důchodová reforma jako taková je nutná, nejsem si však jistá, že model, který navrhla současná vláda, je tím správným řešením. "
13,2,no,
14,2,yes,
15,2,yes,"Návrat ukradeného majetku je právní i mravní povinnost. Návrh finanční náhrady za nevydaný majetek je kompromis. Je to nejen výsledek složitých jednání mezi státem a církvemi, ale také navzájem mezi církvemi, které dokázaly nalézt shodu. Rozbít takovou shodu může být docela snadné, ale najít nové řešení nikoli. Jsem znechucena dezinformacemi, které zpochybňují právní podstatu. Věřící to v jejich víře neposílí, ale vydělají na tom obce a stát. V sousedních zemích, kde se o majetek církve pečlivě starají, zajišťují z výnosů rozsáhlé zdravotní, sociální i kulturní činnosti a obohacují tak celou společnost. Byli bychom celkově bohatší země, kdyby ukradený majetek byl vrácen včas."
16,2,yes,"Zavázali jsme se k tomu už v roce 2004. V době, kdy budeme plnit podmínky ke vstupu (za 4-6 let) bude Eurozóna stabilnější než dnes či před krizí. Náš vstup pak bude impulsem pro příliv investic a zlepšení ekonomiky. "
