id,motion:text
1,Mělo by být zavedeno více daňových pásem pro daň z příjmů fyzických a právnických osob.
2,Senát by měl být i nadále zachován.
4,V ČR by měla být i nadále povolena stavba mešit.
5,Prezident by měl být i nadále volen přímo občany.
6,Jaderná energetika by měla být i nadále podporována z veřejných zdrojů.
7,Zaměstnavatel by měl mít možnost dát výpověď bez udání důvodu.
8,Měla by být zavedena možnost eutanázie.
9,ČR by měla i nadále usilovat o přijetí eura.
10,Prezident by měl mít i nadále možnost udělovat milost.
11,Daň ze zisku velkých komunikačních firem by se měla zvýšit alespoň na 30 %.
12,Státní instituce by měly být rozmísťovány rovnoměrně po celém území ČR.
13,Stát by měl finančně podporovat vznik sítě romských asistentů prevence kriminality.
14,Na veřejných vysokých školách by měly být vybírány poplatky za studium.
15,Mělo by být zřízeno specializované státní zastupitelství pro boj proti korupci.
16,Sazba DPH na některé položky by měla být nulová.
17,Kouření v restauracích by mělo být zakázáno.
18,Maximální výše schodku státního rozpočtu by měla být omezena zákonem.
19,Český telekomunikační úřad by měl v podmínkách aukce na LTE sítě vyhradit část spektra v pásmu 800 MHz pro nové hráče.
20,Vydávání majetku církvím v rámci tzv. církevních restitucí by mělo být zastaveno.
21,Občané by měli mít možnost předložit návrh zákona pomocí petice.
22,Reklama na léky hrazené ze zdravotního pojištění by měla být zakázána.
23,Homosexuální páry by měly mít stejná práva na adopci dětí jako heterosexuální páry.
24,Limity těžby uhlí v ČR by měly být zachovány.
25,ČR by měla být i nadále členem NATO.
26,Měla by existovat možnost vypsání celostátního referenda na základě petice.
27,Poplatek za prázdná paměťová média by měl být zachován.
28,Státní podpora stavebního spoření by měla být zachována.
29,"Zdraví škodlivé potraviny (např. limonády, cukrovinky, hranolky) by měly mít vyšší sazbu DPH."
30,Měly by být zavedeny tzv. registrační pokladny.
31,Marihuana by měla být legalizována.
32,Měla by vzniknout státem vlastněná banka jako alternativa komerčních bank.
33,Data vytvářená veřejnou správou by měla být poskytována zdarma a ve strojově čitelné podobě.
34,Vlastnická struktura všech akciových společností by měla být dohledatelná na internetu.
35,ČR by měla být i nadále členem EU.
36,Stát by měl omezovat výrobu potravin z geneticky modifikovaných organizmů.
37,Stát by měl garantovat základní připojení k internetu pro všechny občany.
38,Občané obce by měli mít možnost soudně napadnout protizákonný prodej obecního majetku.
39,Obchodní řetězce by měly nabízet povinně předepsaný podíl potravin od českých výrobců.
40,Měla by existovat povinnost prokázat původ určitého majetku s možností zabavení neprokázaného majetku.
41,Pacienti by měli mít možnost připlatit si za nadstandardní zdravotní péči.
42,"Stahování ""pirátského"" obsahu z internetu by mělo být trestné."
43,Systém datových schránek by se měl otevřít pro více provozovatelů.
44,Regulační zdravotnické poplatky by měly být zachovány.
45,V sociálně vyloučených lokalitách by měly být zakázány hazardní přístroje.
46,Kontrolní pravomoci NKÚ by měly být rozšířeny na samosprávy a obchodní společnosti s vlastnickou účastí veřejné správy.
47,Minimální hrubá mzda by měla být nejméně 10 000 Kč měsíčně.
48,Pro obsazování volených funkcí by měly být zavedeny kvóty pro ženy.
49,Občané docházející na pravidelné preventivní prohlídky by měli platit nižší zdravotní pojištění.
50,Účetnictví politických stran včetně smluv a dokladů by mělo být pravidelně zveřejňováno na internetu.
51,Poskytovatelé připojení k internetu by měli dodržovat tzv. síťovou neutralitu.
52,Armáda ČR by se měla účastnit zahraničních vojenských misí.
53,Domácí porody by měly být trestné.
54,Stát by měl pravidelně zveřejňovat platy a odměny vrcholných politiků a vysokých státních úředníků.
55,Tzv. 2. pilíř důchodového systému by měl být zachován.
56,Na pozice v dozorčích a správních radách obchodních společností s vlastnickou účastí veřejné správy by měla být vypisována otevřená výběrová řízení.
57,Stát by měl omezit přístup k webovým stránkám s obsahem nevhodným pro nezletilé.
58,Těžba zemního plynu z břidlicových písků by měla být zakázána.
59,Stát by měl garantovat místo v mateřské školce pro každé dítě určitého věku.
60,Povinné přidávání biosložek do paliv by mělo být i nadále zachováno.
61,Technické vzdělávání na středních a vysokých školách by mělo být státem podporováno na úkor jiných oborů.
62,Očkování by mělo být vždy dobrovolné.
63,Platnost smluv uzavřených veřejnou správnou by měla být podmíněna jejich zveřejněním v registru smluv.
64,"Poplatky za právníky vymáháné před exekucí po dlužnících, co dluží do 10000 Kč, by měly být omezeny zákonem pod 1000 Kč."
65,Vyplácení podpory v nezaměstnanosti by mělo být vázáno na školní docházku dětí.
101,Spotřební daň z pohoných hmot by se měla snížit alespoň o 2 Kč/litr.
102,Měla by být zavedena progresivní daň z příjmů pro fyzické osoby.
103,Půjčky a úvěry by měly poskytovat výhradně subjekty regulované Českou národní bankou.
104,Minimální limit pro povolení oddlužení (tzv. osobního bankrotu) by se měl zpřísnit alespoň na 50 % ze stávajících 30 % zaplacených dluhů.
105,“Švarcsystém” by měl být legální.
106,Sazba DPH na základní potraviny by měla být nejvýše 10 %.
107,Při volbách do Sněmovny by se mělo volit i nadále poměrným systémem.
108,"""Datové schránky"" pro živnostníky by měly být povinné."
109,Zaměstnávání lidí v předdůchodovém věku by mělo být daňově zvýhodněno.
110,Důchody by měly být valorizovány minimálně o inflaci.
111,Věk trestní odpovědnosti by se měl snížit na 14 let.
112,Národní podnik Budějovický Budvar by měl být privatizován.
113,"Jaderná energetika by měla být podporována z veřejných zdrojů (garance výkupních cen, vládní záruky na úvěr na dostavbu Temelína, apod.)."
114,Spotřební daň na alkohol by se měla zvýšit.
115,"Nový občanský zákoník by měl začít platit od 1.1.2014, jak je plánováno."
116,Státní maturita by měla být zachována.
117,Státní podpora žákovských slev ve veřejné dopravě by měla zůstat zachována alespoň na dnešní úrovni.
118,Všechny děti od 3 let by měly mít místo ve veřejné školce nebo jejich rodiče dostat příspěvek na zajištění péče jiným způsobem.
119,Studium na veřejných vysokých školách by mělo být zpoplatněno.
120,Soudci by nadále měli být jmenováni do funkce doživotně.
